	Data Name	L*(D50)	a*(D50)	b*(D50)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
    21 	[Retrieved Data]1021 (5/16/2024 10:59:31 PM)	93.11	2.08	5.64	11.74	11.74	11.74	11.74	11.74	24.24	53.82	77.11	84.04	80.96	75.38	75.08	74.34	74.04	76.83	80.24	81.92	82.26	82.34	82.29	82.50	83.37	84.48	85.59	86.51	87.16	87.57	87.97	88.26	88.51	88.71	88.88	89.06	89.20	89.19	89.19	89.19	89.19	89.19
    22 	[Retrieved Data]1022 (5/16/2024 10:59:31 PM)	93.38	2.30	8.24	14.08	14.08	14.08	14.08	14.08	25.61	52.94	74.07	80.05	77.45	72.62	72.54	72.24	72.67	76.16	80.03	82.08	82.70	82.87	82.79	83.03	84.01	85.32	86.74	87.96	88.80	89.42	90.08	90.54	90.97	91.30	91.53	91.78	92.11	92.20	92.20	92.20	92.20	92.20
    22 	[Retrieved Data]1022 (5/16/2024 10:59:31 PM)	91.95	2.41	7.85	11.38	11.38	11.38	11.38	11.38	22.88	50.24	71.76	78.05	75.19	70.01	69.87	69.41	69.73	73.13	76.99	78.92	79.45	79.58	79.48	79.76	80.77	82.04	83.40	84.51	85.40	86.01	86.60	87.04	87.47	87.81	88.07	88.35	88.64	88.76	88.76	88.76	88.76	88.76
    23 	[Retrieved Data]1023 (5/16/2024 10:59:31 PM)	93.89	1.52	13.16	13.46	13.46	13.46	13.46	13.46	24.28	49.60	68.70	74.04	71.55	67.31	67.50	67.94	69.33	74.22	79.72	82.94	84.02	84.40	84.51	84.90	85.96	87.34	88.74	89.87	90.58	91.02	91.50	91.76	92.06	92.22	92.40	92.55	92.76	92.75	92.75	92.75	92.75	92.75
    23 	[Retrieved Data]1023 (5/16/2024 10:59:31 PM)	92.43	1.60	12.92	10.73	10.73	10.73	10.73	10.73	21.51	46.85	66.30	71.87	69.19	64.59	64.73	65.02	66.31	71.14	76.57	79.69	80.69	81.01	81.12	81.52	82.63	84.01	85.33	86.35	87.10	87.50	87.94	88.18	88.50	88.70	88.87	89.04	89.22	89.22	89.22	89.22	89.22	89.22
    24 	[Retrieved Data]1024 (5/16/2024 10:59:31 PM)	88.20	1.27	17.67	12.05	12.05	12.05	12.05	12.05	19.95	38.74	52.70	56.30	54.48	51.46	51.95	53.23	56.14	62.38	68.23	71.46	72.59	72.58	71.91	71.69	72.32	73.35	74.70	76.19	77.76	79.45	81.32	82.97	84.33	85.36	86.25	87.11	88.06	88.88	88.88	88.88	88.88	88.88
    24 	[Retrieved Data]1024 (5/16/2024 10:59:31 PM)	86.51	1.34	17.71	9.22	9.22	9.22	9.22	9.22	17.09	35.87	50.03	53.78	51.82	48.54	48.98	50.14	53.00	59.17	64.94	68.06	69.14	69.09	68.41	68.24	68.86	69.91	71.18	72.60	74.17	75.83	77.66	79.31	80.65	81.70	82.58	83.51	84.40	85.21	85.21	85.21	85.21	85.21
    25 	[Retrieved Data]1025 (5/16/2024 10:59:31 PM)	78.90	4.59	20.91	9.96	9.96	9.96	9.96	9.96	14.71	26.67	35.70	37.72	36.62	34.67	35.18	36.66	40.20	46.31	50.78	52.93	53.91	53.65	52.56	52.36	53.37	54.91	56.86	59.10	61.72	64.69	68.03	71.24	73.77	75.77	77.52	79.23	81.13	83.01	83.01	83.01	83.01	83.01
    25 	[Retrieved Data]1025 (5/16/2024 10:59:31 PM)	76.81	4.82	21.37	7.10	7.10	7.10	7.10	7.10	11.82	23.74	32.85	34.94	33.71	31.60	32.06	33.46	36.94	42.96	47.38	49.44	50.37	50.09	48.99	48.82	49.84	51.37	53.28	55.46	58.05	61.01	64.30	67.51	70.00	72.03	73.78	75.51	77.37	79.23	79.23	79.23	79.23	79.23
    26 	[Retrieved Data]1026 (5/16/2024 10:59:31 PM)	58.61	8.81	21.52	7.79	7.79	7.79	7.79	7.79	8.54	11.56	14.50	14.92	14.76	14.30	14.74	15.99	18.93	23.19	25.06	25.48	25.77	25.13	23.93	23.62	24.20	25.07	26.38	28.41	31.44	35.38	40.15	45.13	49.24	52.78	56.00	59.22	62.83	66.83	66.83	66.83	66.83	66.83
    26 	[Retrieved Data]1026 (5/16/2024 10:59:31 PM)	55.02	9.73	23.68	4.74	4.74	4.74	4.74	4.74	5.44	8.41	11.34	11.74	11.49	10.95	11.34	12.51	15.40	19.61	21.44	21.82	22.12	21.45	20.28	19.98	20.55	21.40	22.72	24.71	27.73	31.62	36.34	41.30	45.39	48.95	52.13	55.38	58.94	62.94	62.94	62.94	62.94	62.94
    27 	[Retrieved Data]1027 (5/16/2024 10:59:31 PM)	46.86	10.81	16.50	7.85	7.85	7.85	7.85	7.85	7.81	8.54	9.31	9.21	9.07	9.04	9.29	10.04	11.88	14.37	15.22	15.27	15.30	14.68	13.69	13.34	13.63	14.16	15.07	16.58	19.01	22.28	26.47	31.14	35.16	38.76	42.22	45.77	49.84	54.59	54.59	54.59	54.59	54.59
    27 	[Retrieved Data]1027 (5/16/2024 10:59:31 PM)	41.42	12.78	19.26	4.90	4.90	4.90	4.90	4.90	4.82	5.48	6.16	5.99	5.76	5.65	5.83	6.50	8.29	10.72	11.54	11.53	11.56	10.90	9.93	9.58	9.83	10.35	11.26	12.72	15.12	18.38	22.50	27.12	31.13	34.73	38.16	41.71	45.74	50.48	50.48	50.48	50.48	50.48
    28 	[Retrieved Data]1028 (5/16/2024 10:59:31 PM)	38.89	8.08	10.00	7.15	7.15	7.15	7.15	7.15	6.99	7.19	7.38	7.20	7.10	7.16	7.29	7.78	9.03	10.67	11.12	10.96	10.80	10.16	9.22	8.67	8.60	8.79	9.25	10.12	11.63	13.87	16.99	20.72	24.16	27.38	30.59	34.03	38.16	43.21	43.21	43.21	43.21	43.21
    28 	[Retrieved Data]1028 (5/16/2024 10:59:31 PM)	31.57	10.50	11.97	4.32	4.32	4.32	4.32	4.32	4.10	4.20	4.32	4.06	3.87	3.83	3.92	4.30	5.49	7.09	7.50	7.30	7.13	6.50	5.56	4.98	4.91	5.10	5.53	6.34	7.82	10.02	13.08	16.77	20.19	23.41	26.58	30.00	34.11	39.13	39.13	39.13	39.13	39.13
    29 	[Retrieved Data]1029 (5/16/2024 10:59:31 PM)	32.27	0.82	4.31	6.39	6.39	6.39	6.39	6.39	6.17	6.10	6.03	5.86	5.79	5.86	5.97	6.28	7.04	8.10	8.47	8.36	8.14	7.59	6.84	6.28	5.98	5.83	5.84	6.07	6.60	7.49	8.87	10.79	12.84	15.24	18.24	21.86	26.32	31.89	31.89	31.89	31.89	31.89
    29 	[Retrieved Data]1029 (5/16/2024 10:59:31 PM)	22.24	1.25	4.71	3.51	3.51	3.51	3.51	3.51	3.25	3.11	2.97	2.72	2.56	2.55	2.59	2.82	3.51	4.56	4.91	4.76	4.53	3.99	3.25	2.68	2.36	2.22	2.20	2.38	2.87	3.75	5.07	6.97	8.97	11.36	14.31	17.91	22.34	27.87	27.87	27.87	27.87	27.87
    30 	[Retrieved Data]1030 (5/16/2024 10:59:31 PM)	28.56	-0.08	2.64	5.57	5.57	5.57	5.57	5.57	5.35	5.20	5.08	4.95	4.90	4.94	4.99	5.17	5.52	6.04	6.32	6.32	6.22	5.94	5.56	5.25	5.07	4.97	4.95	5.03	5.23	5.56	6.08	6.82	7.81	9.42	12.30	16.60	22.35	29.71	29.71	29.71	29.71	29.71
    30 	[Retrieved Data]1030 (5/16/2024 10:59:31 PM)	16.02	-0.31	2.29	2.71	2.71	2.71	2.71	2.71	2.42	2.20	2.03	1.84	1.68	1.66	1.64	1.73	2.06	2.54	2.80	2.77	2.67	2.40	2.01	1.73	1.55	1.42	1.37	1.39	1.56	1.87	2.33	3.06	4.02	5.62	8.44	12.68	18.37	25.69	25.69	25.69	25.69	25.69
