	Data Name	L*(D50)	a*(D50)	b*(D50)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
19 	[Retrieved Data]699 (5/14/2024 2:02:40 PM)	93.22	2.34	3.65	12.11	12.11	12.11	12.11	12.11	24.95	55.73	80.15	87.53	84.26	78.17	77.84	76.93	76.25	78.63	81.29	82.37	82.41	82.40	82.30	82.50	83.29	84.37	85.55	86.48	87.16	87.62	87.99	88.29	88.60	88.76	88.89	89.08	89.21	89.24	89.24	89.24	89.24	89.24
20 	[Retrieved Data]700 (5/14/2024 2:02:40 PM)	88.49	1.35	6.47	13.08	13.08	13.08	13.08	13.08	22.82	47.07	66.30	71.65	69.36	64.62	64.46	64.36	65.11	68.73	72.18	73.71	73.98	73.55	72.45	71.64	71.59	72.01	72.94	74.13	75.61	77.29	79.23	81.10	82.64	83.76	84.73	85.77	86.86	87.84	87.84	87.84	87.84	87.84
20 	[Retrieved Data]700 (5/14/2024 2:02:40 PM)	86.91	1.45	6.08	10.30	10.30	10.30	10.30	10.30	20.01	44.28	63.90	69.52	67.01	61.88	61.65	61.52	62.11	65.65	69.03	70.53	70.73	70.24	69.15	68.37	68.32	68.75	69.61	70.73	72.19	73.91	75.79	77.65	79.21	80.31	81.29	82.34	83.41	84.42	84.42	84.42	84.42	84.42
21 	[Retrieved Data]701 (5/14/2024 2:02:40 PM)	91.86	3.47	7.21	14.37	14.37	14.37	14.37	14.37	25.28	51.79	72.44	78.28	75.70	70.65	70.40	70.01	70.35	73.60	76.86	78.39	78.78	78.81	78.54	78.79	79.96	81.63	83.47	85.00	86.16	87.09	87.97	88.75	89.38	89.81	90.16	90.60	91.00	91.25	91.25	91.25	91.25	91.25
21 	[Retrieved Data]701 (5/14/2024 2:02:40 PM)	90.40	3.63	6.79	11.61	11.61	11.61	11.61	11.61	22.50	49.11	70.18	76.31	73.52	68.03	67.76	67.22	67.39	70.59	73.81	75.24	75.57	75.56	75.28	75.56	76.74	78.40	80.18	81.62	82.79	83.74	84.58	85.34	86.02	86.44	86.79	87.20	87.60	87.88	87.88	87.88	87.88	87.88
22 	[Retrieved Data]702 (5/14/2024 2:02:40 PM)	93.93	-1.60	7.93	14.00	14.00	14.00	14.00	14.00	25.72	53.52	74.97	81.21	78.68	73.92	74.22	74.44	75.37	79.66	84.29	86.66	87.03	86.85	86.28	85.48	84.87	84.50	84.58	84.97	85.53	86.27	87.13	87.94	88.66	89.15	89.57	90.06	90.56	90.90	90.90	90.90	90.90	90.90
22 	[Retrieved Data]702 (5/14/2024 2:02:40 PM)	92.55	-1.59	7.53	11.30	11.30	11.30	11.30	11.30	23.03	50.89	72.73	79.33	76.57	71.38	71.64	71.70	72.49	76.70	81.32	83.61	83.90	83.68	83.09	82.34	81.73	81.34	81.33	81.62	82.23	82.94	83.79	84.57	85.34	85.81	86.23	86.73	87.21	87.56	87.56	87.56	87.56	87.56
23 	[Retrieved Data]703 (5/14/2024 2:02:40 PM)	89.42	3.94	9.72	13.19	13.19	13.19	13.19	13.19	22.77	46.29	64.61	69.59	67.23	62.65	62.48	62.39	63.28	67.11	70.92	72.92	73.61	73.62	73.12	73.21	74.40	76.18	78.21	80.00	81.51	82.88	84.27	85.55	86.56	87.29	87.88	88.56	89.24	89.85	89.85	89.85	89.85	89.85
23 	[Retrieved Data]703 (5/14/2024 2:02:40 PM)	87.87	4.13	9.40	10.42	10.42	10.42	10.42	10.42	19.97	43.55	62.24	67.46	64.91	59.95	59.70	59.56	60.31	64.03	67.80	69.74	70.36	70.30	69.78	69.91	71.13	72.92	74.89	76.58	78.12	79.49	80.84	82.07	83.11	83.84	84.48	85.15	85.81	86.42	86.42	86.42	86.42	86.42
24 	[Retrieved Data]704 (5/14/2024 2:02:40 PM)	23.69	2.51	0.54	4.36	4.36	4.36	4.36	4.36	4.19	4.10	4.01	3.97	3.91	3.89	3.84	3.83	3.81	3.81	3.80	3.78	3.80	3.83	3.88	3.95	4.00	4.05	4.10	4.16	4.24	4.31	4.41	4.48	4.60	4.80	5.32	6.61	9.44	15.37	15.37	15.37	15.37	15.37
24 	[Retrieved Data]704 (5/14/2024 2:02:40 PM)	4.96	2.31	-3.60	1.37	1.37	1.37	1.37	1.37	1.17	1.05	0.96	0.86	0.79	0.75	0.69	0.64	0.62	0.62	0.59	0.54	0.55	0.54	0.52	0.50	0.49	0.50	0.49	0.48	0.49	0.53	0.54	0.59	0.68	0.86	1.30	2.56	5.32	11.15	11.15	11.15	11.15	11.15
25 	[Retrieved Data]705 (5/14/2024 2:02:40 PM)	41.69	-46.05	23.08	4.73	4.73	4.73	4.73	4.73	4.61	4.55	4.52	4.49	4.50	4.60	4.74	5.11	6.17	10.59	21.36	29.98	29.16	21.96	14.05	8.28	5.40	4.43	4.23	4.26	4.41	4.72	5.23	6.11	7.24	8.55	10.15	12.26	15.35	19.78	19.78	19.78	19.78	19.78
25 	[Retrieved Data]705 (5/14/2024 2:02:40 PM)	35.54	-63.64	32.25	1.74	1.74	1.74	1.74	1.74	1.55	1.45	1.38	1.31	1.27	1.28	1.36	1.65	2.64	7.01	17.71	26.27	25.46	18.30	10.49	4.83	2.03	1.09	0.84	0.82	0.90	1.13	1.62	2.46	3.57	4.88	6.45	8.56	11.60	16.02	16.02	16.02	16.02	16.02
26 	[Retrieved Data]706 (5/14/2024 2:02:40 PM)	94.16	0.19	2.95	14.97	14.97	14.97	14.97	14.97	27.66	58.33	82.60	89.79	87.00	81.39	81.16	80.47	80.00	82.49	85.33	86.55	86.51	86.25	85.73	85.15	84.93	84.98	85.39	85.98	86.60	87.28	88.06	88.77	89.41	89.84	90.20	90.63	91.07	91.34	91.34	91.34	91.34	91.34
26 	[Retrieved Data]706 (5/14/2024 2:02:40 PM)	92.80	0.25	2.38	12.31	12.31	12.31	12.31	12.31	24.98	55.75	80.50	88.11	85.06	78.96	78.70	77.83	77.18	79.59	82.41	83.52	83.40	83.10	82.57	82.05	81.81	81.83	82.16	82.68	83.31	83.97	84.73	85.44	86.08	86.49	86.89	87.29	87.71	88.01	88.01	88.01	88.01	88.01
27 	[Retrieved Data]707 (5/14/2024 2:02:40 PM)	87.97	-0.53	5.24	13.13	13.13	13.13	13.13	13.13	22.76	46.99	66.44	71.97	69.80	65.08	64.94	64.83	65.59	69.26	72.82	74.40	74.53	73.83	72.37	70.91	70.00	69.58	69.84	70.72	72.15	74.02	76.22	78.40	80.18	81.54	82.72	83.92	85.25	86.51	86.51	86.51	86.51	86.51
