533 	[Retrieved Data]2143 (5/14/2024 8:44:12 AM)	92.53	-1.64	5.43	11.36	11.36	11.36	11.36	11.36	23.46	52.31	75.26	82.23	79.50	74.27	74.39	74.06	74.48	78.10	82.10	83.94	84.05	83.76	83.04	82.08	81.29	80.74	80.59	80.88	81.47	82.24	83.24	84.10	84.85	85.46	85.98	86.50	87.04	87.48	87.48	87.48	87.48	87.48
534 	[Retrieved Data]2144 (5/14/2024 8:44:12 AM)	89.08	3.26	7.85	13.27	13.27	13.27	13.27	13.27	23.22	47.29	66.01	71.13	68.79	64.29	64.05	63.85	64.66	68.21	71.56	73.09	73.53	73.42	72.72	72.46	73.22	74.59	76.25	77.91	79.45	80.96	82.60	84.08	85.22	86.13	86.87	87.66	88.50	89.23	89.23	89.23	89.23	89.23
534 	[Retrieved Data]2144 (5/14/2024 8:44:12 AM)	87.49	3.42	7.52	10.46	10.46	10.46	10.46	10.46	20.37	44.46	63.54	68.91	66.35	61.49	61.17	60.95	61.61	65.07	68.39	69.86	70.23	70.05	69.35	69.12	69.92	71.27	72.90	74.46	76.00	77.49	79.10	80.59	81.72	82.64	83.46	84.22	85.06	85.78	85.78	85.78	85.78	85.78
535 	[Retrieved Data]2145 (5/14/2024 8:44:12 AM)	91.09	-0.71	8.34	13.09	13.09	13.09	13.09	13.09	23.73	49.06	68.65	74.19	71.91	67.57	67.73	67.92	69.11	73.45	77.88	80.06	80.48	80.18	79.26	78.25	77.74	77.65	78.04	78.85	79.92	81.18	82.72	84.10	85.26	86.15	86.91	87.68	88.52	89.24	89.24	89.24	89.24	89.24
535 	[Retrieved Data]2145 (5/14/2024 8:44:12 AM)	89.58	-0.68	8.02	10.35	10.35	10.35	10.35	10.35	20.95	46.28	66.19	72.03	69.54	64.83	64.96	65.03	66.08	70.37	74.78	76.87	77.21	76.87	75.92	74.99	74.48	74.37	74.72	75.45	76.50	77.74	79.27	80.66	81.81	82.70	83.51	84.28	85.10	85.83	85.83	85.83	85.83	85.83
536 	[Retrieved Data]2146 (5/14/2024 8:44:12 AM)	94.62	0.98	8.77	14.10	14.10	14.10	14.10	14.10	26.14	54.24	75.70	81.86	79.25	74.56	74.67	74.54	75.19	79.06	83.37	85.65	86.26	86.49	86.46	86.52	87.12	88.02	89.02	89.92	90.55	90.96	91.40	91.64	91.92	92.10	92.24	92.42	92.56	92.56	92.56	92.56	92.56	92.56
536 	[Retrieved Data]2146 (5/14/2024 8:44:12 AM)	93.27	1.07	8.41	11.43	11.43	11.43	11.43	11.43	23.42	51.59	73.50	79.99	77.12	72.00	72.05	71.83	72.32	76.12	80.37	82.61	83.13	83.32	83.27	83.37	83.99	84.88	85.84	86.66	87.27	87.67	88.05	88.32	88.57	88.78	88.96	89.12	89.25	89.24	89.24	89.24	89.24	89.24
537 	[Retrieved Data]2147 (5/14/2024 8:44:12 AM)	89.26	4.66	1.56	14.33	14.33	14.33	14.33	14.33	25.73	53.25	74.75	80.76	78.11	72.68	71.85	70.45	69.74	71.44	73.00	73.39	73.38	73.13	72.38	72.11	72.94	74.41	76.19	77.95	79.54	81.06	82.67	84.13	85.29	86.18	86.92	87.68	88.51	89.24	89.24	89.24	89.24	89.24
537 	[Retrieved Data]2147 (5/14/2024 8:44:12 AM)	87.69	4.88	1.01	11.55	11.55	11.55	11.55	11.55	22.90	50.43	72.37	78.70	75.81	69.94	69.06	67.57	66.70	68.32	69.85	70.20	70.09	69.78	69.04	68.80	69.63	71.10	72.86	74.53	76.12	77.59	79.22	80.67	81.79	82.72	83.50	84.26	85.06	85.78	85.78	85.78	85.78	85.78
538 	[Retrieved Data]2148 (5/14/2024 8:44:12 AM)	90.49	-1.08	2.38	14.17	14.17	14.17	14.17	14.17	25.56	53.12	75.08	81.45	79.04	74.06	73.78	73.28	73.28	76.08	79.04	80.24	80.13	79.44	78.08	76.52	75.34	74.65	74.64	75.26	76.37	77.86	79.70	81.46	82.89	83.98	84.96	85.96	87.04	88.00	88.00	88.00	88.00	88.00
538 	[Retrieved Data]2148 (5/14/2024 8:44:12 AM)	88.95	-1.06	1.89	11.32	11.32	11.32	11.32	11.32	22.69	50.26	72.57	79.32	76.67	71.32	71.05	70.29	70.21	73.01	75.94	77.02	76.80	76.10	74.74	73.21	72.07	71.34	71.26	71.80	72.91	74.39	76.21	77.96	79.37	80.52	81.50	82.52	83.54	84.53	84.53	84.53	84.53	84.53
539 	[Retrieved Data]2149 (5/14/2024 8:44:12 AM)	91.06	0.70	3.19	14.07	14.07	14.07	14.07	14.07	25.65	53.50	75.50	81.86	79.33	74.28	73.96	73.22	73.20	75.92	78.69	79.75	79.74	79.34	78.37	77.42	77.08	77.20	77.80	78.74	79.89	81.17	82.72	84.12	85.24	86.15	86.89	87.67	88.51	89.25	89.25	89.25	89.25	89.25
539 	[Retrieved Data]2149 (5/14/2024 8:44:12 AM)	89.56	0.79	2.70	11.30	11.30	11.30	11.30	11.30	22.83	50.71	73.16	79.86	77.07	71.58	71.21	70.42	70.25	72.87	75.59	76.59	76.50	76.04	75.07	74.17	73.84	73.96	74.50	75.35	76.48	77.77	79.30	80.67	81.81	82.72	83.52	84.28	85.12	85.85	85.85	85.85	85.85	85.85
