	Data Name	Target No.	CMC(l:c)(D50)	Judgement	Pseudo Color(D50)	L*(D50)	a*(D50)	b*(D50)	dL*(D50)	da*(D50)	db*(D50)	dE*ab(D50)
   194 	[Retrieved Data]194 (5/13/2024 9:20:54 PM)	3	5.56	------		99.41	-0.12	-0.01	4.14	-1.87	3.76	5.89
   194 	[Retrieved Data]194 (5/13/2024 9:20:54 PM)	3	5.81	------		97.33	-0.09	0.13	3.62	-1.70	4.30	5.87
   195 	[Retrieved Data]195 (5/13/2024 9:20:54 PM)	3	93.31	------		51.31	61.10	44.88	-43.96	59.35	48.66	88.44
   195 	[Retrieved Data]195 (5/13/2024 9:20:54 PM)	3	111.03	------		46.57	67.93	61.96	-47.14	66.32	66.14	104.86
   196 	[Retrieved Data]196 (5/13/2024 9:20:54 PM)	3	46.92	------		27.84	0.32	1.86	-67.43	-1.43	5.64	67.68
   196 	[Retrieved Data]196 (5/13/2024 9:20:54 PM)	3	54.67	------		15.52	0.98	2.14	-78.19	-0.63	6.31	78.45
   197 	[Retrieved Data]197 (5/13/2024 9:20:54 PM)	3	47.44	------		27.06	1.37	1.94	-68.21	-0.38	5.71	68.45
   197 	[Retrieved Data]197 (5/13/2024 9:20:54 PM)	3	55.83	------		13.97	2.96	2.40	-79.74	1.35	6.58	80.03
   198 	[Retrieved Data]198 (5/13/2024 9:20:54 PM)	3	47.27	------		27.39	0.56	2.09	-67.88	-1.19	5.86	68.14
   198 	[Retrieved Data]198 (5/13/2024 9:20:54 PM)	3	55.45	------		14.55	1.35	2.65	-79.16	-0.26	6.82	79.45
   199 	[Retrieved Data]199 (5/13/2024 9:20:54 PM)	3	46.94	------		28.03	0.56	2.50	-67.24	-1.19	6.28	67.55
   199 	[Retrieved Data]199 (5/13/2024 9:20:54 PM)	3	54.70	------		15.92	1.46	3.40	-77.79	-0.15	7.58	78.16
   200 	[Retrieved Data]200 (5/13/2024 9:20:54 PM)	3	47.69	------		26.73	0.75	2.00	-68.55	-1.00	5.77	68.80
   200 	[Retrieved Data]200 (5/13/2024 9:20:54 PM)	3	56.18	------		13.42	1.87	2.46	-80.29	0.26	6.64	80.56
   201 	[Retrieved Data]201 (5/13/2024 9:20:54 PM)	3	47.41	------		27.40	0.91	2.72	-67.88	-0.84	6.50	68.19
   201 	[Retrieved Data]201 (5/13/2024 9:20:54 PM)	3	55.60	------		14.79	2.11	3.91	-78.92	0.50	8.09	79.34
   202 	[Retrieved Data]202 (5/13/2024 9:20:54 PM)	3	47.09	------		27.98	0.98	3.01	-67.30	-0.77	6.79	67.64
   202 	[Retrieved Data]202 (5/13/2024 9:20:54 PM)	3	54.90	------		16.05	2.19	4.49	-77.66	0.58	8.66	78.15
   203 	[Retrieved Data]203 (5/13/2024 9:20:54 PM)	3	47.56	------		26.79	0.67	1.61	-68.48	-1.08	5.38	68.70
   203 	[Retrieved Data]203 (5/13/2024 9:20:54 PM)	3	56.00	------		13.40	1.71	1.54	-80.31	0.10	5.71	80.51
   204 	[Retrieved Data]204 (5/13/2024 9:20:54 PM)	3	47.45	------		27.01	0.99	1.79	-68.27	-0.76	5.56	68.50
   204 	[Retrieved Data]204 (5/13/2024 9:20:54 PM)	3	55.84	------		13.78	2.22	1.96	-79.93	0.61	6.13	80.17
   205 	[Retrieved Data]205 (5/13/2024 9:20:54 PM)	3	47.15	------		27.51	1.07	2.00	-67.76	-0.68	5.77	68.01
   205 	[Retrieved Data]205 (5/13/2024 9:20:54 PM)	3	55.12	------		15.02	2.34	2.55	-78.69	0.73	6.72	78.98
   206 	[Retrieved Data]206 (5/13/2024 9:20:54 PM)	3	47.04	------		27.78	0.32	2.17	-67.49	-1.43	5.95	67.77
   206 	[Retrieved Data]206 (5/13/2024 9:20:54 PM)	3	54.87	------		15.46	0.94	2.81	-78.25	-0.67	6.98	78.56
   207 	[Retrieved Data]207 (5/13/2024 9:20:54 PM)	3	47.56	------		26.93	1.20	2.05	-68.34	-0.56	5.83	68.59
   207 	[Retrieved Data]207 (5/13/2024 9:20:54 PM)	3	55.92	------		13.92	2.69	2.71	-79.79	1.08	6.89	80.10
   208 	[Retrieved Data]208 (5/13/2024 9:20:54 PM)	3	47.37	------		27.32	0.49	2.28	-67.96	-1.26	6.05	68.24
   208 	[Retrieved Data]208 (5/13/2024 9:20:54 PM)	3	55.49	------		14.61	1.30	3.00	-79.10	-0.31	7.18	79.43
   209 	[Retrieved Data]209 (5/13/2024 9:20:54 PM)	3	47.61	------		27.07	1.22	2.65	-68.21	-0.53	6.42	68.51
   209 	[Retrieved Data]209 (5/13/2024 9:20:54 PM)	3	56.11	------		14.02	2.87	3.78	-79.69	1.26	7.95	80.10
   210 	[Retrieved Data]210 (5/13/2024 9:20:54 PM)	3	49.53	------		23.65	2.61	0.56	-71.62	0.86	4.33	71.76
   210 	[Retrieved Data]210 (5/13/2024 9:20:54 PM)	3	61.58	------		4.63	2.22	-3.42	-89.08	0.61	0.75	89.08
   211 	[Retrieved Data]211 (5/13/2024 9:20:54 PM)	3	76.62	------		42.16	-48.78	23.50	-53.11	-50.53	27.28	78.22
   211 	[Retrieved Data]211 (5/13/2024 9:20:54 PM)	3	97.23	------		36.28	-66.38	32.53	-57.43	-67.99	36.71	96.27
   212 	[Retrieved Data]212 (5/13/2024 9:20:54 PM)	3	46.81	------		28.06	0.66	2.06	-67.22	-1.09	5.84	67.48
   212 	[Retrieved Data]212 (5/13/2024 9:20:54 PM)	3	54.41	------		16.06	1.62	2.62	-77.65	0.01	6.79	77.95
   213 	[Retrieved Data]213 (5/13/2024 9:20:54 PM)	3	47.70	------		26.65	0.76	1.77	-68.63	-1.00	5.55	68.86
   213 	[Retrieved Data]213 (5/13/2024 9:20:54 PM)	3	56.19	------		13.31	1.86	2.13	-80.40	0.25	6.30	80.65
   214 	[Retrieved Data]214 (5/13/2024 9:20:54 PM)	3	47.26	------		27.44	0.96	2.23	-67.83	-0.79	6.00	68.10
   214 	[Retrieved Data]214 (5/13/2024 9:20:54 PM)	3	55.36	------		14.82	2.22	3.01	-78.89	0.62	7.18	79.22
   215 	[Retrieved Data]215 (5/13/2024 9:20:54 PM)	3	46.83	------		28.19	0.88	2.54	-67.08	-0.87	6.31	67.39
   215 	[Retrieved Data]215 (5/13/2024 9:20:54 PM)	3	54.50	------		16.26	1.90	3.54	-77.45	0.29	7.71	77.83
   216 	[Retrieved Data]216 (5/13/2024 9:20:54 PM)	3	47.72	------		26.72	1.15	2.14	-68.55	-0.60	5.91	68.81
   216 	[Retrieved Data]216 (5/13/2024 9:20:54 PM)	3	56.34	------		13.35	2.78	2.84	-80.36	1.18	7.02	80.68
   217 	[Retrieved Data]217 (5/13/2024 9:20:54 PM)	3	47.22	------		27.74	1.21	2.93	-67.53	-0.54	6.71	67.87
   217 	[Retrieved Data]217 (5/13/2024 9:20:54 PM)	3	55.35	------		15.33	2.64	4.31	-78.38	1.03	8.48	78.84
   218 	[Retrieved Data]218 (5/13/2024 9:20:54 PM)	3	71.97	------		27.95	25.21	-46.86	-67.32	23.46	-43.09	83.30
   218 	[Retrieved Data]218 (5/13/2024 9:20:54 PM)	3	93.69	------		15.76	40.80	-61.59	-77.95	39.20	-57.42	104.45
   219 	[Retrieved Data]219 (5/13/2024 9:20:54 PM)	3	5.56	------		99.43	-0.12	-0.03	4.16	-1.87	3.75	5.90
   219 	[Retrieved Data]219 (5/13/2024 9:20:54 PM)	3	5.80	------		97.34	-0.09	0.12	3.63	-1.70	4.29	5.88
   220 	[Retrieved Data]220 (5/13/2024 9:20:54 PM)	3	99.31	------		54.43	65.00	49.84	-40.84	63.25	53.62	92.43
   220 	[Retrieved Data]220 (5/13/2024 9:20:54 PM)	3	116.83	------		49.98	71.44	67.03	-43.73	69.83	71.20	108.90
   221 	[Retrieved Data]221 (5/13/2024 9:20:54 PM)	3	45.21	------		30.92	1.64	3.43	-64.36	-0.11	7.20	64.76
   221 	[Retrieved Data]221 (5/13/2024 9:20:54 PM)	3	51.69	------		20.87	2.85	4.59	-72.84	1.24	8.77	73.37
   222 	[Retrieved Data]222 (5/13/2024 9:20:54 PM)	3	46.03	------		29.71	2.46	3.41	-65.57	0.71	7.19	65.96
   222 	[Retrieved Data]222 (5/13/2024 9:20:54 PM)	3	53.14	------		18.93	4.33	4.79	-74.78	2.72	8.97	75.36
   223 	[Retrieved Data]223 (5/13/2024 9:20:54 PM)	3	45.83	------		30.15	1.72	3.79	-65.12	-0.03	7.56	65.56
   223 	[Retrieved Data]223 (5/13/2024 9:20:54 PM)	3	52.83	------		19.53	3.13	5.31	-74.18	1.53	9.49	74.80
   224 	[Retrieved Data]224 (5/13/2024 9:20:54 PM)	3	45.41	------		31.05	2.13	4.40	-64.23	0.38	8.18	64.74
   224 	[Retrieved Data]224 (5/13/2024 9:20:54 PM)	3	52.10	------		21.08	3.56	6.23	-72.64	1.95	10.40	73.40
   225 	[Retrieved Data]225 (5/13/2024 9:20:54 PM)	3	46.40	------		29.32	1.79	3.86	-65.95	0.04	7.64	66.39
   225 	[Retrieved Data]225 (5/13/2024 9:20:54 PM)	3	53.83	------		18.23	3.34	5.74	-75.48	1.73	9.91	76.14
   226 	[Retrieved Data]226 (5/13/2024 9:20:54 PM)	3	45.94	------		30.39	2.47	4.66	-64.88	0.72	8.44	65.44
   226 	[Retrieved Data]226 (5/13/2024 9:20:54 PM)	3	53.05	------		20.01	4.28	6.85	-73.70	2.67	11.03	74.57
   227 	[Retrieved Data]227 (5/13/2024 9:20:54 PM)	3	45.56	------		31.16	3.46	4.98	-64.12	1.71	8.76	64.73
   227 	[Retrieved Data]227 (5/13/2024 9:20:54 PM)	3	52.48	------		21.22	5.60	7.19	-72.49	3.99	11.36	73.48
   228 	[Retrieved Data]228 (5/13/2024 9:20:54 PM)	3	45.94	------		29.68	1.55	3.03	-65.59	-0.20	6.81	65.94
   228 	[Retrieved Data]228 (5/13/2024 9:20:54 PM)	3	53.03	------		18.65	2.86	3.98	-75.06	1.25	8.16	75.52
   229 	[Retrieved Data]229 (5/13/2024 9:20:54 PM)	3	45.89	------		29.81	1.64	3.18	-65.46	-0.11	6.95	65.83
   229 	[Retrieved Data]229 (5/13/2024 9:20:54 PM)	3	52.95	------		18.86	3.09	4.19	-74.85	1.48	8.37	75.33
   230 	[Retrieved Data]230 (5/13/2024 9:20:54 PM)	3	45.57	------		30.48	2.20	3.66	-64.79	0.45	7.43	65.22
   230 	[Retrieved Data]230 (5/13/2024 9:20:54 PM)	3	52.33	------		20.17	3.78	5.00	-73.54	2.17	9.17	74.15
   231 	[Retrieved Data]231 (5/13/2024 9:20:54 PM)	3	45.41	------		30.88	1.46	4.03	-64.40	-0.29	7.80	64.87
   231 	[Retrieved Data]231 (5/13/2024 9:20:54 PM)	3	51.97	------		20.90	2.59	5.57	-72.81	0.98	9.75	73.47
   232 	[Retrieved Data]232 (5/13/2024 9:20:54 PM)	3	46.11	------		29.75	2.31	3.83	-65.52	0.56	7.60	65.96
   232 	[Retrieved Data]232 (5/13/2024 9:20:54 PM)	3	53.30	------		18.96	4.07	5.46	-74.75	2.46	9.64	75.41
   233 	[Retrieved Data]233 (5/13/2024 9:20:54 PM)	3	45.93	------		30.13	1.59	4.10	-65.14	-0.16	7.88	65.62
   233 	[Retrieved Data]233 (5/13/2024 9:20:54 PM)	3	52.91	------		19.66	2.86	5.90	-74.05	1.26	10.08	74.75
   234 	[Retrieved Data]234 (5/13/2024 9:20:54 PM)	3	45.50	------		31.23	2.47	5.06	-64.05	0.72	8.83	64.66
   234 	[Retrieved Data]234 (5/13/2024 9:20:54 PM)	3	52.34	------		21.33	4.11	7.34	-72.38	2.50	11.52	73.34
   235 	[Retrieved Data]235 (5/13/2024 9:20:54 PM)	3	47.35	------		27.16	2.71	1.71	-68.11	0.96	5.48	68.34
   235 	[Retrieved Data]235 (5/13/2024 9:20:54 PM)	3	55.72	------		14.24	5.46	1.73	-79.47	3.86	5.91	79.79
   236 	[Retrieved Data]236 (5/13/2024 9:20:54 PM)	3	45.57	------		30.35	1.69	3.36	-64.92	-0.06	7.13	65.32
   236 	[Retrieved Data]236 (5/13/2024 9:20:54 PM)	3	52.44	------		19.69	3.03	4.37	-74.02	1.42	8.55	74.53
   237 	[Retrieved Data]237 (5/13/2024 9:20:54 PM)	3	45.52	------		30.51	1.91	3.57	-64.76	0.16	7.35	65.18
   237 	[Retrieved Data]237 (5/13/2024 9:20:54 PM)	3	52.29	------		20.08	3.40	4.71	-73.63	1.79	8.89	74.19
   238 	[Retrieved Data]238 (5/13/2024 9:20:54 PM)	3	45.01	------		31.42	2.45	3.90	-63.85	0.70	7.67	64.31
   238 	[Retrieved Data]238 (5/13/2024 9:20:54 PM)	3	51.47	------		21.56	4.08	5.16	-72.15	2.47	9.34	72.79
   239 	[Retrieved Data]239 (5/13/2024 9:20:54 PM)	3	46.11	------		29.61	1.81	3.49	-65.66	0.06	7.27	66.07
   239 	[Retrieved Data]239 (5/13/2024 9:20:54 PM)	3	53.27	------		18.71	3.35	4.91	-75.00	1.74	9.09	75.57
   240 	[Retrieved Data]240 (5/13/2024 9:20:54 PM)	3	45.69	------		30.56	2.29	4.24	-64.72	0.54	8.01	65.21
   240 	[Retrieved Data]240 (5/13/2024 9:20:54 PM)	3	52.61	------		20.26	4.06	6.03	-73.45	2.45	10.21	74.20
   241 	[Retrieved Data]241 (5/13/2024 9:20:54 PM)	3	45.52	------		30.97	1.54	4.57	-64.31	-0.21	8.34	64.85
   241 	[Retrieved Data]241 (5/13/2024 9:20:54 PM)	3	52.25	------		20.91	2.76	6.48	-72.80	1.15	10.65	73.58
   242 	[Retrieved Data]242 (5/13/2024 9:20:54 PM)	3	46.29	------		29.86	2.87	4.62	-65.42	1.12	8.39	65.96
   242 	[Retrieved Data]242 (5/13/2024 9:20:54 PM)	3	53.71	------		19.16	5.01	6.96	-74.55	3.40	11.14	75.45
   243 	[Retrieved Data]243 (5/13/2024 9:20:54 PM)	3	49.56	------		23.65	2.65	0.70	-71.62	0.90	4.48	71.77
   243 	[Retrieved Data]243 (5/13/2024 9:20:54 PM)	3	61.70	------		4.46	2.29	-3.46	-89.25	0.68	0.72	89.26
   244 	[Retrieved Data]244 (5/13/2024 9:20:54 PM)	3	76.97	------		42.46	-49.22	23.63	-52.82	-50.97	27.40	78.35
   244 	[Retrieved Data]244 (5/13/2024 9:20:54 PM)	3	97.99	------		36.56	-67.25	32.68	-57.15	-68.86	36.86	96.78
   245 	[Retrieved Data]245 (5/13/2024 9:20:54 PM)	3	45.05	------		31.27	2.31	3.69	-64.00	0.56	7.47	64.44
   245 	[Retrieved Data]245 (5/13/2024 9:20:54 PM)	3	51.55	------		21.28	3.89	4.86	-72.43	2.28	9.03	73.02
   246 	[Retrieved Data]246 (5/13/2024 9:20:54 PM)	3	46.13	------		29.50	1.62	3.31	-65.77	-0.13	7.09	66.16
   246 	[Retrieved Data]246 (5/13/2024 9:20:54 PM)	3	53.34	------		18.46	3.02	4.63	-75.25	1.41	8.80	75.78
   247 	[Retrieved Data]247 (5/13/2024 9:20:54 PM)	3	45.76	------		30.35	2.16	4.00	-64.92	0.41	7.77	65.39
   247 	[Retrieved Data]247 (5/13/2024 9:20:54 PM)	3	52.74	------		19.86	3.77	5.65	-73.85	2.17	9.82	74.53
   248 	[Retrieved Data]248 (5/13/2024 9:20:54 PM)	3	45.17	------		31.44	2.60	4.44	-63.84	0.85	8.21	64.37
   248 	[Retrieved Data]248 (5/13/2024 9:20:54 PM)	3	51.73	------		21.67	4.35	6.17	-72.04	2.74	10.34	72.83
   249 	[Retrieved Data]249 (5/13/2024 9:20:54 PM)	3	46.26	------		29.64	2.03	4.10	-65.63	0.28	7.87	66.10
   249 	[Retrieved Data]249 (5/13/2024 9:20:54 PM)	3	53.60	------		18.78	3.73	6.12	-74.93	2.12	10.30	75.66
   250 	[Retrieved Data]250 (5/13/2024 9:20:54 PM)	3	45.97	------		30.39	2.70	4.74	-64.88	0.95	8.52	65.45
   250 	[Retrieved Data]250 (5/13/2024 9:20:54 PM)	3	53.10	------		20.05	4.61	6.98	-73.66	3.00	11.16	74.56
   251 	[Retrieved Data]251 (5/13/2024 9:20:54 PM)	3	71.99	------		27.90	25.39	-46.76	-67.37	23.64	-42.98	83.34
   251 	[Retrieved Data]251 (5/13/2024 9:20:54 PM)	3	94.07	------		15.58	41.25	-61.70	-78.13	39.64	-57.53	104.81
   252 	[Retrieved Data]252 (5/13/2024 9:20:54 PM)	3	5.54	------		99.38	-0.10	-0.01	4.11	-1.85	3.76	5.87
   252 	[Retrieved Data]252 (5/13/2024 9:20:54 PM)	3	5.81	------		97.34	-0.09	0.13	3.63	-1.70	4.30	5.88
   253 	[Retrieved Data]253 (5/13/2024 9:20:54 PM)	3	99.33	------		54.50	64.99	49.90	-40.78	63.24	53.68	92.43
   253 	[Retrieved Data]253 (5/13/2024 9:20:54 PM)	3	116.65	------		50.03	71.41	66.83	-43.68	69.80	71.01	108.73
   254 	[Retrieved Data]254 (5/13/2024 9:20:54 PM)	3	43.49	------		38.11	8.69	9.41	-57.17	6.94	13.18	59.08
   254 	[Retrieved Data]254 (5/13/2024 9:20:54 PM)	3	49.29	------		31.08	11.35	12.12	-62.63	9.74	16.30	65.45
   255 	[Retrieved Data]255 (5/13/2024 9:20:54 PM)	3	44.83	------		35.86	9.28	8.98	-59.42	7.53	12.76	61.24
   255 	[Retrieved Data]255 (5/13/2024 9:20:54 PM)	3	51.57	------		27.94	12.67	12.18	-65.77	11.06	16.35	68.67
   256 	[Retrieved Data]256 (5/13/2024 9:20:54 PM)	3	44.34	------		36.53	8.00	9.42	-58.75	6.25	13.20	60.53
   256 	[Retrieved Data]256 (5/13/2024 9:20:54 PM)	3	50.71	------		28.94	10.83	12.63	-64.78	9.22	16.80	67.55
   257 	[Retrieved Data]257 (5/13/2024 9:20:54 PM)	3	44.12	------		38.27	9.31	10.67	-57.00	7.56	14.44	59.29
   257 	[Retrieved Data]257 (5/13/2024 9:20:54 PM)	3	50.32	------		31.23	12.16	13.93	-62.48	10.55	18.11	65.90
   258 	[Retrieved Data]258 (5/13/2024 9:20:54 PM)	3	45.00	------		35.27	7.39	9.36	-60.00	5.64	13.14	61.68
   258 	[Retrieved Data]258 (5/13/2024 9:20:54 PM)	3	51.79	------		27.30	10.26	13.06	-66.41	8.66	17.24	69.15
   259 	[Retrieved Data]259 (5/13/2024 9:20:54 PM)	3	44.92	------		36.88	9.04	10.69	-58.39	7.29	14.47	60.60
   259 	[Retrieved Data]259 (5/13/2024 9:20:54 PM)	3	51.58	------		29.54	12.00	14.53	-64.17	10.39	18.70	67.64
   260 	[Retrieved Data]260 (5/13/2024 9:20:54 PM)	3	44.94	------		38.55	10.47	12.07	-56.73	8.72	15.85	59.54
   260 	[Retrieved Data]260 (5/13/2024 9:20:54 PM)	3	51.51	------		31.69	13.48	15.97	-62.02	11.87	20.14	66.28
   261 	[Retrieved Data]261 (5/13/2024 9:20:54 PM)	3	44.33	------		35.39	7.45	7.95	-59.89	5.70	11.73	61.29
   261 	[Retrieved Data]261 (5/13/2024 9:20:54 PM)	3	50.66	------		27.35	10.36	10.62	-66.36	8.75	14.79	68.55
   262 	[Retrieved Data]262 (5/13/2024 9:20:54 PM)	3	44.55	------		35.54	8.31	8.33	-59.74	6.56	12.10	61.30
   262 	[Retrieved Data]262 (5/13/2024 9:20:54 PM)	3	51.04	------		27.56	11.48	11.18	-66.15	9.88	15.35	68.62
   263 	[Retrieved Data]263 (5/13/2024 9:20:54 PM)	3	44.45	------		37.08	9.60	9.68	-58.19	7.85	13.45	60.24
   263 	[Retrieved Data]263 (5/13/2024 9:20:54 PM)	3	50.81	------		29.71	12.75	12.78	-64.00	11.14	16.95	67.14
   264 	[Retrieved Data]264 (5/13/2024 9:20:54 PM)	3	43.84	------		38.07	8.62	10.14	-57.20	6.87	13.92	59.27
   264 	[Retrieved Data]264 (5/13/2024 9:20:54 PM)	3	49.82	------		31.00	11.33	13.10	-62.72	9.72	17.28	65.77
   265 	[Retrieved Data]265 (5/13/2024 9:20:54 PM)	3	45.06	------		35.79	9.06	9.54	-59.48	7.31	13.31	61.39
   265 	[Retrieved Data]265 (5/13/2024 9:20:54 PM)	3	51.88	------		27.97	12.37	13.05	-65.74	10.76	17.22	68.80
   266 	[Retrieved Data]266 (5/13/2024 9:20:54 PM)	3	44.61	------		36.62	8.10	10.10	-58.66	6.35	13.87	60.61
   266 	[Retrieved Data]266 (5/13/2024 9:20:54 PM)	3	51.12	------		29.12	10.92	13.65	-64.59	9.31	17.83	67.65
   267 	[Retrieved Data]267 (5/13/2024 9:20:54 PM)	3	44.65	------		38.27	9.40	11.68	-57.00	7.65	15.46	59.56
   267 	[Retrieved Data]267 (5/13/2024 9:20:54 PM)	3	51.04	------		31.34	12.18	15.41	-62.37	10.57	19.58	66.22
   268 	[Retrieved Data]268 (5/13/2024 9:20:54 PM)	3	45.90	------		30.62	4.43	4.71	-64.66	2.68	8.48	65.27
   268 	[Retrieved Data]268 (5/13/2024 9:20:54 PM)	3	53.00	------		20.55	7.20	6.81	-73.17	5.59	10.98	74.20
   269 	[Retrieved Data]269 (5/13/2024 9:20:54 PM)	3	43.94	------		36.82	8.14	8.89	-58.45	6.39	12.66	60.15
   269 	[Retrieved Data]269 (5/13/2024 9:20:54 PM)	3	49.99	------		29.30	10.98	11.51	-64.41	9.37	15.69	66.95
   270 	[Retrieved Data]270 (5/13/2024 9:20:54 PM)	3	44.05	------		36.92	8.71	9.00	-58.35	6.96	12.77	60.14
   270 	[Retrieved Data]270 (5/13/2024 9:20:54 PM)	3	50.30	------		29.33	11.74	11.80	-64.38	10.13	15.98	67.10
   271 	[Retrieved Data]271 (5/13/2024 9:20:54 PM)	3	43.98	------		38.53	10.17	10.27	-56.75	8.42	14.04	59.06
   271 	[Retrieved Data]271 (5/13/2024 9:20:54 PM)	3	50.00	------		31.59	13.19	13.16	-62.12	11.58	17.34	65.52
   272 	[Retrieved Data]272 (5/13/2024 9:20:54 PM)	3	44.93	------		35.59	8.37	9.27	-59.69	6.62	13.04	61.45
   272 	[Retrieved Data]272 (5/13/2024 9:20:54 PM)	3	51.60	------		27.72	11.50	12.61	-65.99	9.90	16.78	68.81
   273 	[Retrieved Data]273 (5/13/2024 9:20:54 PM)	3	44.79	------		37.21	9.70	10.52	-58.06	7.95	14.30	60.32
   273 	[Retrieved Data]273 (5/13/2024 9:20:54 PM)	3	51.44	------		29.82	12.91	14.10	-63.89	11.30	18.28	67.40
   274 	[Retrieved Data]274 (5/13/2024 9:20:54 PM)	3	44.28	------		37.99	8.50	11.00	-57.29	6.75	14.78	59.54
   274 	[Retrieved Data]274 (5/13/2024 9:20:54 PM)	3	50.57	------		30.89	11.16	14.51	-62.82	9.55	18.68	66.23
   275 	[Retrieved Data]275 (5/13/2024 9:20:54 PM)	3	45.50	------		35.87	9.48	10.40	-59.41	7.73	14.17	61.56
   275 	[Retrieved Data]275 (5/13/2024 9:20:54 PM)	3	52.66	------		28.05	12.88	14.43	-65.66	11.28	18.61	69.17
   276 	[Retrieved Data]276 (5/13/2024 9:20:54 PM)	3	49.71	------		23.38	2.60	0.54	-71.89	0.85	4.32	72.03
   276 	[Retrieved Data]276 (5/13/2024 9:20:54 PM)	3	61.64	------		4.55	2.38	-3.37	-89.16	0.77	0.80	89.17
   277 	[Retrieved Data]277 (5/13/2024 9:20:54 PM)	3	77.17	------		42.53	-49.54	23.53	-52.74	-51.29	27.30	78.47
   277 	[Retrieved Data]277 (5/13/2024 9:20:54 PM)	3	98.22	------		36.64	-67.65	32.49	-57.07	-69.25	36.66	96.94
   278 	[Retrieved Data]278 (5/13/2024 9:20:54 PM)	3	43.67	------		38.45	9.53	9.86	-56.82	7.78	13.63	58.95
   278 	[Retrieved Data]278 (5/13/2024 9:20:54 PM)	3	49.55	------		31.49	12.39	12.59	-62.22	10.78	16.77	65.34
   279 	[Retrieved Data]279 (5/13/2024 9:20:54 PM)	3	44.65	------		35.32	7.36	8.65	-59.95	5.61	12.43	61.48
   279 	[Retrieved Data]279 (5/13/2024 9:20:54 PM)	3	51.15	------		27.36	10.29	11.76	-66.35	8.68	15.94	68.79
   280 	[Retrieved Data]280 (5/13/2024 9:20:54 PM)	3	44.51	------		36.93	9.02	9.89	-58.34	7.27	13.67	60.36
   280 	[Retrieved Data]280 (5/13/2024 9:20:54 PM)	3	50.96	------		29.47	12.06	13.18	-64.24	10.46	17.36	67.36
   281 	[Retrieved Data]281 (5/13/2024 9:20:54 PM)	3	44.48	------		38.58	10.45	11.21	-56.70	8.70	14.99	59.29
   281 	[Retrieved Data]281 (5/13/2024 9:20:54 PM)	3	50.80	------		31.70	13.50	14.66	-62.01	11.89	18.83	65.89
   282 	[Retrieved Data]282 (5/13/2024 9:20:54 PM)	3	45.24	------		35.48	8.49	9.76	-59.79	6.74	13.53	61.68
   282 	[Retrieved Data]282 (5/13/2024 9:20:54 PM)	3	52.22	------		27.56	11.69	13.59	-66.15	10.08	17.77	69.23
   283 	[Retrieved Data]283 (5/13/2024 9:20:54 PM)	3	45.15	------		37.00	10.04	10.84	-58.27	8.29	14.61	60.64
   283 	[Retrieved Data]283 (5/13/2024 9:20:54 PM)	3	51.95	------		29.62	13.28	14.64	-64.09	11.67	18.82	67.81
   284 	[Retrieved Data]284 (5/13/2024 9:20:54 PM)	3	69.60	------		27.52	23.57	-44.32	-67.75	21.82	-40.54	81.91
   284 	[Retrieved Data]284 (5/13/2024 9:20:54 PM)	3	91.62	------		14.91	39.16	-59.45	-78.80	37.55	-55.27	103.32
   285 	[Retrieved Data]285 (5/13/2024 9:20:54 PM)	3	5.52	------		99.34	-0.08	-0.00	4.07	-1.83	3.77	5.84
   285 	[Retrieved Data]285 (5/13/2024 9:20:54 PM)	3	5.81	------		97.32	-0.08	0.13	3.61	-1.69	4.31	5.87
   286 	[Retrieved Data]286 (5/13/2024 9:20:54 PM)	3	98.86	------		53.96	64.83	49.28	-41.32	63.08	53.05	92.19
   286 	[Retrieved Data]286 (5/13/2024 9:20:54 PM)	3	116.19	------		49.59	71.14	66.39	-44.12	69.53	70.57	108.45
   287 	[Retrieved Data]287 (5/13/2024 9:20:54 PM)	3	41.28	------		47.93	8.38	15.71	-47.34	6.63	19.48	51.62
   287 	[Retrieved Data]287 (5/13/2024 9:20:54 PM)	3	45.81	------		43.05	9.82	18.43	-50.66	8.21	22.61	56.08
   288 	[Retrieved Data]288 (5/13/2024 9:20:54 PM)	3	42.87	------		44.79	9.69	15.07	-50.49	7.94	18.85	54.47
   288 	[Retrieved Data]288 (5/13/2024 9:20:54 PM)	3	48.05	------		39.40	11.62	18.21	-54.31	10.01	22.39	59.59
   289 	[Retrieved Data]289 (5/13/2024 9:20:54 PM)	3	42.57	------		45.92	8.15	16.07	-49.36	6.40	19.85	53.58
   289 	[Retrieved Data]289 (5/13/2024 9:20:54 PM)	3	47.62	------		40.74	9.72	19.30	-52.97	8.11	23.48	58.51
   290 	[Retrieved Data]290 (5/13/2024 9:20:54 PM)	3	43.11	------		48.41	9.36	18.36	-46.87	7.61	22.14	52.39
   290 	[Retrieved Data]290 (5/13/2024 9:20:54 PM)	3	48.03	------		43.71	10.88	21.64	-50.00	9.27	25.82	57.03
   291 	[Retrieved Data]291 (5/13/2024 9:20:54 PM)	3	43.18	------		43.94	7.57	15.48	-51.33	5.82	19.26	55.14
   291 	[Retrieved Data]291 (5/13/2024 9:20:54 PM)	3	48.58	------		38.42	9.22	19.03	-55.29	7.61	23.20	60.45
   292 	[Retrieved Data]292 (5/13/2024 9:20:54 PM)	3	43.49	------		46.33	9.18	17.43	-48.95	7.43	21.20	53.86
