	Data Name	Target No.	CMC(l:c)(D50)	Judgement	Pseudo Color(D50)	L*(D50)	a*(D50)	b*(D50)	dL*(D50)	da*(D50)	db*(D50)	dE*ab(D50)
    55 	[Retrieved Data]55 (5/13/2024 9:20:54 PM)	3	48.55	------		31.07	10.79	9.86	-64.20	9.04	13.64	66.25
    55 	[Retrieved Data]55 (5/13/2024 9:20:54 PM)	3	48.19	------		30.96	10.82	9.87	-62.75	9.21	14.05	64.96
    56 	[Retrieved Data]56 (5/13/2024 9:20:54 PM)	3	48.86	------		26.18	2.38	5.05	-69.09	0.63	8.82	69.66
    56 	[Retrieved Data]56 (5/13/2024 9:20:54 PM)	3	48.31	------		26.12	2.39	5.08	-67.59	0.78	9.25	68.22
    57 	[Retrieved Data]57 (5/13/2024 9:20:54 PM)	3	48.85	------		26.20	2.37	5.07	-69.07	0.62	8.85	69.64
    57 	[Retrieved Data]57 (5/13/2024 9:20:54 PM)	3	48.31	------		26.13	2.39	5.08	-67.58	0.78	9.25	68.22
    58 	[Retrieved Data]58 (5/13/2024 9:20:54 PM)	3	46.10	------		70.98	11.50	30.78	-24.29	9.74	34.56	43.35
    58 	[Retrieved Data]58 (5/13/2024 9:20:54 PM)	3	48.35	------		69.31	11.94	32.42	-24.41	10.33	36.59	45.18
    59 	[Retrieved Data]59 (5/13/2024 9:20:54 PM)	3	46.16	------		70.93	11.54	30.82	-24.34	9.79	34.59	43.42
    59 	[Retrieved Data]59 (5/13/2024 9:20:54 PM)	3	48.38	------		69.27	11.96	32.44	-24.44	10.35	36.61	45.22
    60 	[Retrieved Data]60 (5/13/2024 9:20:54 PM)	3	46.19	------		70.91	11.56	30.84	-24.36	9.81	34.61	43.45
    60 	[Retrieved Data]60 (5/13/2024 9:20:54 PM)	3	48.42	------		69.25	11.98	32.47	-24.46	10.38	36.64	45.26
    61 	[Retrieved Data]61 (5/13/2024 9:20:54 PM)	3	8.23	------		95.98	-0.04	2.29	0.70	-1.79	6.06	6.36
    61 	[Retrieved Data]61 (5/13/2024 9:20:54 PM)	3	8.96	------		94.18	-0.02	2.47	0.47	-1.62	6.64	6.85
    62 	[Retrieved Data]62 (5/13/2024 9:20:54 PM)	3	9.70	------		83.42	-0.18	0.26	-11.85	-1.93	4.03	12.67
    62 	[Retrieved Data]62 (5/13/2024 9:20:54 PM)	3	10.38	------		81.18	-0.13	0.38	-12.53	-1.73	4.56	13.44
    63 	[Retrieved Data]63 (5/13/2024 9:20:54 PM)	3	25.25	------		59.50	-0.44	0.45	-35.78	-2.19	4.22	36.09
    63 	[Retrieved Data]63 (5/13/2024 9:20:54 PM)	3	27.16	------		55.55	-0.49	0.66	-38.17	-2.10	4.83	38.53
    64 	[Retrieved Data]64 (5/13/2024 9:20:54 PM)	3	40.71	------		36.37	0.03	-0.17	-58.90	-1.72	3.60	59.04
    64 	[Retrieved Data]64 (5/13/2024 9:20:54 PM)	3	46.48	------		26.83	0.12	-0.06	-66.88	-1.49	4.12	67.02
    65 	[Retrieved Data]65 (5/13/2024 9:20:54 PM)	3	47.51	------		26.32	-0.42	-1.50	-68.96	-2.17	2.28	69.03
    65 	[Retrieved Data]65 (5/13/2024 9:20:54 PM)	3	59.24	------		8.21	-1.10	-2.24	-85.50	-2.71	1.93	85.57
    66 	[Retrieved Data]66 (5/13/2024 9:20:54 PM)	3	67.61	------		46.53	45.52	21.86	-48.75	43.77	25.64	70.35
    66 	[Retrieved Data]66 (5/13/2024 9:20:54 PM)	3	79.34	------		40.67	52.86	30.03	-53.04	51.25	34.20	81.30
    67 	[Retrieved Data]67 (5/13/2024 9:20:54 PM)	3	49.00	------		54.65	-28.09	11.46	-40.62	-29.84	15.23	52.65
    67 	[Retrieved Data]67 (5/13/2024 9:20:54 PM)	3	55.07	------		50.03	-32.87	13.58	-43.68	-34.48	17.75	58.41
    68 	[Retrieved Data]68 (5/13/2024 9:20:54 PM)	3	49.25	------		28.52	6.32	-19.09	-66.75	4.57	-15.32	68.64
