	Data Name	Target No.	CMC(l:c)(D65)	Judgement	Pseudo Color(D65)	L*(D65)	a*(D65)	b*(D65)	dL*(D65)	da*(D65)	db*(D65)	dE*ab(D65)
    32 	[Retrieved Data]32 (5/13/2024 9:20:54 PM)	3	47.45	------		29.18	6.03	6.20	-66.20	4.61	9.54	67.04
    32 	[Retrieved Data]32 (5/13/2024 9:20:54 PM)	3	57.64	------		17.44	10.44	12.43	-76.40	9.22	16.10	78.62
    33 	[Retrieved Data]33 (5/13/2024 9:20:54 PM)	3	46.92	------		28.39	2.55	3.58	-66.99	1.13	6.93	67.36
    33 	[Retrieved Data]33 (5/13/2024 9:20:54 PM)	3	50.24	------		22.87	3.24	4.41	-70.97	2.02	8.07	71.46
    34 	[Retrieved Data]34 (5/13/2024 9:20:54 PM)	3	46.65	------		28.34	2.42	2.31	-67.04	1.00	5.65	67.29
    34 	[Retrieved Data]34 (5/13/2024 9:20:54 PM)	3	57.18	------		13.22	5.40	5.35	-80.62	4.19	9.02	81.23
    35 	[Retrieved Data]35 (5/13/2024 9:20:54 PM)	3	46.86	------		27.37	0.79	-0.18	-68.01	-0.63	3.17	68.09
    35 	[Retrieved Data]35 (5/13/2024 9:20:54 PM)	3	50.27	------		21.33	1.03	-0.23	-72.52	-0.18	3.43	72.60
    36 	[Retrieved Data]36 (5/13/2024 9:20:54 PM)	3	50.29	------		22.44	0.02	0.18	-72.94	-1.40	3.53	73.04
    36 	[Retrieved Data]36 (5/13/2024 9:20:54 PM)	3	59.36	------		8.01	-0.39	-2.13	-85.84	-1.60	1.54	85.86
    37 	[Retrieved Data]37 (5/13/2024 9:20:54 PM)	3	5.09	------		99.43	-0.10	-0.04	4.05	-1.52	3.30	5.44
    37 	[Retrieved Data]37 (5/13/2024 9:20:54 PM)	3	5.22	------		97.36	-0.09	0.07	3.51	-1.31	3.74	5.30
    38 	[Retrieved Data]38 (5/13/2024 9:20:54 PM)	3	33.18	------		47.45	-0.20	-0.15	-47.93	-1.62	3.20	48.06
    38 	[Retrieved Data]38 (5/13/2024 9:20:54 PM)	3	33.51	------		45.78	-0.20	-0.06	-48.07	-1.41	3.61	48.22
    39 	[Retrieved Data]39 (5/13/2024 9:20:54 PM)	3	15.34	------		73.94	-0.24	-0.11	-21.44	-1.66	3.23	21.74
    39 	[Retrieved Data]39 (5/13/2024 9:20:54 PM)	3	22.18	------		62.43	-0.24	-0.06	-31.42	-1.45	3.60	31.66
    40 	[Retrieved Data]40 (5/13/2024 9:20:54 PM)	3	14.06	------		75.87	-0.28	-0.18	-19.51	-1.70	3.17	19.84
    40 	[Retrieved Data]40 (5/13/2024 9:20:54 PM)	3	14.85	------		73.40	-0.28	-0.07	-20.45	-1.50	3.60	20.82
    41 	[Retrieved Data]41 (5/13/2024 9:20:54 PM)	3	14.72	------		74.83	-0.29	-0.25	-20.55	-1.71	3.09	20.85
    41 	[Retrieved Data]41 (5/13/2024 9:20:54 PM)	3	15.61	------		72.20	-0.30	-0.15	-21.64	-1.51	3.52	21.98
    42 	[Retrieved Data]42 (5/13/2024 9:20:54 PM)	3	16.43	------		72.21	-0.33	-0.39	-23.17	-1.75	2.96	23.43
    42 	[Retrieved Data]42 (5/13/2024 9:20:54 PM)	3	17.39	------		69.48	-0.33	-0.28	-24.36	-1.55	3.39	24.64
    43 	[Retrieved Data]43 (5/13/2024 9:20:54 PM)	3	21.28	------		64.98	-0.24	-0.29	-30.40	-1.66	3.06	30.60
    43 	[Retrieved Data]43 (5/13/2024 9:20:54 PM)	3	19.00	------		67.26	-0.17	0.19	-26.59	-1.38	3.85	26.90
    44 	[Retrieved Data]44 (5/13/2024 9:20:54 PM)	3	30.75	------		51.56	0.23	1.43	-43.82	-1.19	4.77	44.10
    44 	[Retrieved Data]44 (5/13/2024 9:20:54 PM)	3	31.47	------		49.40	0.28	1.58	-44.45	-0.94	5.24	44.77
    45 	[Retrieved Data]45 (5/13/2024 9:20:54 PM)	3	65.35	------		0.46	0.53	0.44	-94.91	-0.89	3.78	94.99
    45 	[Retrieved Data]45 (5/13/2024 9:20:54 PM)	3	64.76	------		0.36	0.32	0.28	-93.48	-0.90	3.94	93.57
    46 	[Retrieved Data]46 (5/13/2024 9:20:54 PM)	3	41.41	------		38.30	4.04	6.65	-57.07	2.62	10.00	58.00
    46 	[Retrieved Data]46 (5/13/2024 9:20:54 PM)	3	34.00	------		49.81	5.32	7.35	-44.03	4.10	11.01	45.57
    47 	[Retrieved Data]47 (5/13/2024 9:20:54 PM)	3	34.51	------		50.70	5.91	8.19	-44.68	4.49	11.54	46.36
    47 	[Retrieved Data]47 (5/13/2024 9:20:54 PM)	3	33.39	------		51.84	4.91	8.63	-42.01	3.69	12.29	43.92
    48 	[Retrieved Data]48 (5/13/2024 9:20:54 PM)	3	12.62	------		90.91	3.21	5.89	-4.47	1.79	9.24	10.42
    48 	[Retrieved Data]48 (5/13/2024 9:20:54 PM)	3	13.08	------		90.84	3.22	5.98	-3.00	2.00	9.65	10.30
    49 	[Retrieved Data]49 (5/13/2024 9:20:54 PM)	3	12.77	------		90.77	3.19	6.00	-4.61	1.77	9.34	10.57
    49 	[Retrieved Data]49 (5/13/2024 9:20:54 PM)	3	13.23	------		90.70	3.21	6.09	-3.14	1.99	9.76	10.45
    50 	[Retrieved Data]50 (5/13/2024 9:20:54 PM)	3	16.25	------		90.28	0.13	8.88	-5.10	-1.29	12.23	13.31
    50 	[Retrieved Data]50 (5/13/2024 9:20:54 PM)	3	16.64	------		90.21	0.13	8.96	-3.64	-1.08	12.62	13.18
    51 	[Retrieved Data]51 (5/13/2024 9:20:54 PM)	3	23.70	------		85.52	2.45	14.65	-9.85	1.03	17.99	20.54
    51 	[Retrieved Data]51 (5/13/2024 9:20:54 PM)	3	24.02	------		85.43	2.46	14.73	-8.41	1.24	18.40	20.27
    52 	[Retrieved Data]52 (5/13/2024 9:20:54 PM)	3	26.68	------		79.58	2.48	16.06	-15.80	1.06	19.40	25.04
    52 	[Retrieved Data]52 (5/13/2024 9:20:54 PM)	3	26.85	------		79.49	2.48	16.14	-14.36	1.27	19.80	24.49
    53 	[Retrieved Data]53 (5/13/2024 9:20:54 PM)	3	58.07	------		50.57	13.40	35.56	-44.81	11.98	38.90	60.54
    53 	[Retrieved Data]53 (5/13/2024 9:20:54 PM)	3	57.93	------		50.47	13.41	35.66	-43.37	12.19	39.32	59.80
    54 	[Retrieved Data]54 (5/13/2024 9:20:54 PM)	3	57.88	------		40.22	19.08	28.21	-55.16	17.66	31.55	65.96
    54 	[Retrieved Data]54 (5/13/2024 9:20:54 PM)	3	57.67	------		40.13	19.13	28.27	-53.71	17.91	31.94	65.00
    55 	[Retrieved Data]55 (5/13/2024 9:20:54 PM)	3	48.27	------		30.44	9.62	8.88	-64.94	8.20	12.22	66.59
    55 	[Retrieved Data]55 (5/13/2024 9:20:54 PM)	3	47.85	------		30.32	9.64	8.89	-63.52	8.42	12.56	65.30
    56 	[Retrieved Data]56 (5/13/2024 9:20:54 PM)	3	48.86	------		25.88	2.46	4.60	-69.50	1.04	7.94	69.96
    56 	[Retrieved Data]56 (5/13/2024 9:20:54 PM)	3	48.28	------		25.82	2.47	4.63	-68.02	1.25	8.29	68.54
    57 	[Retrieved Data]57 (5/13/2024 9:20:54 PM)	3	48.85	------		25.90	2.45	4.62	-69.47	1.03	7.97	69.94
    57 	[Retrieved Data]57 (5/13/2024 9:20:54 PM)	3	48.27	------		25.83	2.47	4.63	-68.02	1.25	8.30	68.53
    58 	[Retrieved Data]58 (5/13/2024 9:20:54 PM)	3	45.64	------		69.58	9.63	30.19	-25.80	8.21	33.54	43.10
    58 	[Retrieved Data]58 (5/13/2024 9:20:54 PM)	3	47.86	------		67.86	10.04	31.87	-25.99	8.82	35.54	44.90
    59 	[Retrieved Data]59 (5/13/2024 9:20:54 PM)	3	45.69	------		69.53	9.68	30.22	-25.85	8.26	33.57	43.16
    59 	[Retrieved Data]59 (5/13/2024 9:20:54 PM)	3	47.89	------		67.82	10.06	31.89	-26.02	8.84	35.55	44.94
    60 	[Retrieved Data]60 (5/13/2024 9:20:54 PM)	3	45.72	------		69.51	9.70	30.24	-25.87	8.29	33.58	43.19
    60 	[Retrieved Data]60 (5/13/2024 9:20:54 PM)	3	47.93	------		67.80	10.08	31.91	-26.05	8.87	35.58	44.98
    61 	[Retrieved Data]61 (5/13/2024 9:20:54 PM)	3	7.75	------		95.89	-0.20	2.34	0.51	-1.62	5.68	5.93
    61 	[Retrieved Data]61 (5/13/2024 9:20:54 PM)	3	8.36	------		94.08	-0.19	2.52	0.23	-1.41	6.19	6.35
    62 	[Retrieved Data]62 (5/13/2024 9:20:54 PM)	3	9.59	------		83.42	-0.25	0.34	-11.96	-1.67	3.68	12.63
    62 	[Retrieved Data]62 (5/13/2024 9:20:54 PM)	3	10.25	------		81.18	-0.22	0.46	-12.67	-1.44	4.13	13.40
    63 	[Retrieved Data]63 (5/13/2024 9:20:54 PM)	3	25.22	------		59.49	-0.46	0.51	-35.89	-1.88	3.86	36.15
