	Data Name	Target No.	CMC(l:c)(D65)	Judgement	Pseudo Color(D65)	L*(D65)	a*(D65)	b*(D65)	dL*(D65)	da*(D65)	db*(D65)	dE*ab(D65)
   193 	[Retrieved Data]193 (5/13/2024 9:20:54 PM)	3	5.31	------		97.32	-0.10	0.14	3.48	-1.32	3.81	5.32
   194 	[Retrieved Data]194 (5/13/2024 9:20:54 PM)	3	5.12	------		99.41	-0.10	-0.01	4.03	-1.52	3.33	5.45
   194 	[Retrieved Data]194 (5/13/2024 9:20:54 PM)	3	5.31	------		97.33	-0.10	0.14	3.48	-1.31	3.80	5.32
   195 	[Retrieved Data]195 (5/13/2024 9:20:54 PM)	3	87.41	------		48.53	54.25	40.43	-46.85	52.83	43.77	83.08
   195 	[Retrieved Data]195 (5/13/2024 9:20:54 PM)	3	105.70	------		43.37	61.44	56.72	-50.47	60.23	60.39	99.10
   196 	[Retrieved Data]196 (5/13/2024 9:20:54 PM)	3	47.04	------		27.82	-1.20	2.01	-67.56	-2.62	5.35	67.82
   196 	[Retrieved Data]196 (5/13/2024 9:20:54 PM)	3	54.80	------		15.51	-1.66	2.22	-78.34	-2.88	5.88	78.61
   197 	[Retrieved Data]197 (5/13/2024 9:20:54 PM)	3	47.50	------		26.99	-0.01	1.93	-68.39	-1.43	5.28	68.61
   197 	[Retrieved Data]197 (5/13/2024 9:20:54 PM)	3	55.79	------		13.86	0.49	2.18	-79.99	-0.72	5.84	80.20
   198 	[Retrieved Data]198 (5/13/2024 9:20:54 PM)	3	47.36	------		27.34	-0.79	2.15	-68.04	-2.21	5.49	68.30
   198 	[Retrieved Data]198 (5/13/2024 9:20:54 PM)	3	55.52	------		14.48	-1.05	2.56	-79.36	-2.26	6.22	79.64
   199 	[Retrieved Data]199 (5/13/2024 9:20:54 PM)	3	47.05	------		27.97	-1.03	2.61	-67.40	-2.45	5.95	67.71
   199 	[Retrieved Data]199 (5/13/2024 9:20:54 PM)	3	54.79	------		15.85	-1.27	3.42	-78.00	-2.49	7.08	78.36
   200 	[Retrieved Data]200 (5/13/2024 9:20:54 PM)	3	47.76	------		26.66	-0.45	2.00	-68.72	-1.87	5.35	68.95
   200 	[Retrieved Data]200 (5/13/2024 9:20:54 PM)	3	56.20	------		13.32	-0.30	2.24	-80.52	-1.51	5.90	80.75
   201 	[Retrieved Data]201 (5/13/2024 9:20:54 PM)	3	47.49	------		27.31	-0.51	2.73	-68.07	-1.93	6.07	68.37
   201 	[Retrieved Data]201 (5/13/2024 9:20:54 PM)	3	55.62	------		14.65	-0.38	3.72	-79.20	-1.60	7.39	79.56
   202 	[Retrieved Data]202 (5/13/2024 9:20:54 PM)	3	47.18	------		27.89	-0.66	3.06	-67.49	-2.08	6.41	67.83
   202 	[Retrieved Data]202 (5/13/2024 9:20:54 PM)	3	54.94	------		15.90	-0.58	4.39	-77.94	-1.80	8.06	78.38
   203 	[Retrieved Data]203 (5/13/2024 9:20:54 PM)	3	47.64	------		26.75	-0.55	1.64	-68.63	-1.97	4.99	68.84
   203 	[Retrieved Data]203 (5/13/2024 9:20:54 PM)	3	56.03	------		13.36	-0.50	1.39	-80.49	-1.71	5.06	80.66
   204 	[Retrieved Data]204 (5/13/2024 9:20:54 PM)	3	47.51	------		26.95	-0.32	1.80	-68.43	-1.73	5.15	68.64
   204 	[Retrieved Data]204 (5/13/2024 9:20:54 PM)	3	55.84	------		13.70	-0.13	1.79	-80.14	-1.35	5.46	80.34
   205 	[Retrieved Data]205 (5/13/2024 9:20:54 PM)	3	47.23	------		27.46	-0.44	2.05	-67.92	-1.86	5.39	68.16
   205 	[Retrieved Data]205 (5/13/2024 9:20:54 PM)	3	55.14	------		14.94	-0.30	2.45	-78.90	-1.52	6.12	79.15
   206 	[Retrieved Data]206 (5/13/2024 9:20:54 PM)	3	47.15	------		27.74	-1.17	2.29	-67.64	-2.59	5.63	67.92
   206 	[Retrieved Data]206 (5/13/2024 9:20:54 PM)	3	54.99	------		15.42	-1.64	2.83	-78.43	-2.86	6.50	78.75
   207 	[Retrieved Data]207 (5/13/2024 9:20:54 PM)	3	47.61	------		26.86	-0.14	2.04	-68.52	-1.56	5.39	68.75
   207 	[Retrieved Data]207 (5/13/2024 9:20:54 PM)	3	55.90	------		13.80	0.30	2.48	-80.05	-0.92	6.15	80.29
   208 	[Retrieved Data]208 (5/13/2024 9:20:54 PM)	3	47.46	------		27.26	-0.84	2.33	-68.12	-2.26	5.67	68.40
   208 	[Retrieved Data]208 (5/13/2024 9:20:54 PM)	3	55.56	------		14.52	-1.05	2.89	-79.32	-2.27	6.56	79.63
   209 	[Retrieved Data]209 (5/13/2024 9:20:54 PM)	3	47.66	------		26.96	-0.10	2.60	-68.42	-1.52	5.94	68.69
   209 	[Retrieved Data]209 (5/13/2024 9:20:54 PM)	3	56.07	------		13.85	0.49	3.47	-80.00	-0.73	7.14	80.32
   210 	[Retrieved Data]210 (5/13/2024 9:20:54 PM)	3	49.55	------		23.56	2.22	0.29	-71.82	0.81	3.63	71.92
   210 	[Retrieved Data]210 (5/13/2024 9:20:54 PM)	3	61.58	------		4.71	1.87	-3.75	-89.14	0.65	-0.09	89.14
   211 	[Retrieved Data]211 (5/13/2024 9:20:54 PM)	3	75.24	------		42.33	-44.96	25.94	-53.04	-46.38	29.29	76.31
   211 	[Retrieved Data]211 (5/13/2024 9:20:54 PM)	3	94.98	------		36.50	-59.88	36.55	-57.35	-61.10	40.22	92.95
   212 	[Retrieved Data]212 (5/13/2024 9:20:54 PM)	3	46.92	------		28.02	-0.96	2.18	-67.36	-2.38	5.53	67.62
   212 	[Retrieved Data]212 (5/13/2024 9:20:54 PM)	3	54.50	------		16.01	-1.15	2.65	-77.83	-2.36	6.32	78.12
   213 	[Retrieved Data]213 (5/13/2024 9:20:54 PM)	3	47.76	------		26.59	-0.46	1.79	-68.79	-1.88	5.13	69.00
   213 	[Retrieved Data]213 (5/13/2024 9:20:54 PM)	3	56.21	------		13.22	-0.34	1.93	-80.62	-1.56	5.60	80.83
   214 	[Retrieved Data]214 (5/13/2024 9:20:54 PM)	3	47.34	------		27.37	-0.50	2.27	-68.01	-1.92	5.61	68.26
   214 	[Retrieved Data]214 (5/13/2024 9:20:54 PM)	3	55.38	------		14.72	-0.33	2.88	-79.13	-1.54	6.55	79.41
   215 	[Retrieved Data]215 (5/13/2024 9:20:54 PM)	3	46.93	------		28.13	-0.77	2.63	-67.25	-2.19	5.97	67.55
   215 	[Retrieved Data]215 (5/13/2024 9:20:54 PM)	3	54.57	------		16.17	-0.90	3.52	-77.67	-2.11	7.19	78.03
   216 	[Retrieved Data]216 (5/13/2024 9:20:54 PM)	3	47.78	------		26.64	-0.13	2.11	-68.74	-1.55	5.46	68.97
   216 	[Retrieved Data]216 (5/13/2024 9:20:54 PM)	3	56.32	------		13.21	0.43	2.57	-80.63	-0.78	6.23	80.88
   217 	[Retrieved Data]217 (5/13/2024 9:20:54 PM)	3	47.29	------		27.64	-0.28	2.92	-67.74	-1.70	6.27	68.05
   217 	[Retrieved Data]217 (5/13/2024 9:20:54 PM)	3	55.34	------		15.16	0.07	4.09	-78.68	-1.15	7.76	79.07
   218 	[Retrieved Data]218 (5/13/2024 9:20:54 PM)	3	72.04	------		30.04	25.43	-45.39	-65.34	24.01	-42.05	81.33
   218 	[Retrieved Data]218 (5/13/2024 9:20:54 PM)	3	90.67	------		19.50	37.90	-57.52	-74.34	36.69	-53.85	98.86
   219 	[Retrieved Data]219 (5/13/2024 9:20:54 PM)	3	5.13	------		99.44	-0.11	-0.02	4.06	-1.53	3.33	5.46
   219 	[Retrieved Data]219 (5/13/2024 9:20:54 PM)	3	5.29	------		97.34	-0.09	0.13	3.50	-1.31	3.79	5.32
   220 	[Retrieved Data]220 (5/13/2024 9:20:54 PM)	3	93.14	------		51.44	57.96	45.11	-43.94	56.54	48.45	86.46
   220 	[Retrieved Data]220 (5/13/2024 9:20:54 PM)	3	111.35	------		46.60	64.75	61.62	-47.25	63.53	65.28	102.62
   221 	[Retrieved Data]221 (5/13/2024 9:20:54 PM)	3	45.37	------		30.86	-0.91	3.70	-64.52	-2.32	7.05	64.95
   221 	[Retrieved Data]221 (5/13/2024 9:20:54 PM)	3	51.80	------		20.80	-0.97	4.90	-73.04	-2.19	8.56	73.58
   222 	[Retrieved Data]222 (5/13/2024 9:20:54 PM)	3	46.08	------		29.60	0.22	3.48	-65.78	-1.19	6.83	66.15
   222 	[Retrieved Data]222 (5/13/2024 9:20:54 PM)	3	53.05	------		18.77	0.88	4.75	-75.08	-0.34	8.41	75.55
   223 	[Retrieved Data]223 (5/13/2024 9:20:54 PM)	3	45.94	------		30.05	-0.56	3.94	-65.32	-1.98	7.29	65.76
   223 	[Retrieved Data]223 (5/13/2024 9:20:54 PM)	3	52.86	------		19.39	-0.41	5.43	-74.46	-1.63	9.10	75.03
   224 	[Retrieved Data]224 (5/13/2024 9:20:54 PM)	3	45.53	------		30.94	-0.47	4.60	-64.44	-1.89	7.95	64.96
   224 	[Retrieved Data]224 (5/13/2024 9:20:54 PM)	3	52.14	------		20.91	-0.30	6.42	-72.93	-1.51	10.09	73.64
   225 	[Retrieved Data]225 (5/13/2024 9:20:54 PM)	3	46.49	------		29.20	-0.27	3.93	-66.18	-1.69	7.27	66.60
   225 	[Retrieved Data]225 (5/13/2024 9:20:54 PM)	3	53.82	------		18.05	0.07	5.70	-75.80	-1.15	9.37	76.38
   226 	[Retrieved Data]226 (5/13/2024 9:20:54 PM)	3	46.00	------		30.23	0.12	4.72	-65.15	-1.30	8.07	65.66
   226 	[Retrieved Data]226 (5/13/2024 9:20:54 PM)	3	52.98	------		19.78	0.73	6.81	-74.07	-0.49	10.48	74.81
   227 	[Retrieved Data]227 (5/13/2024 9:20:54 PM)	3	45.58	------		30.98	0.79	5.05	-64.40	-0.63	8.39	64.95
   227 	[Retrieved Data]227 (5/13/2024 9:20:54 PM)	3	52.31	------		20.96	1.67	7.18	-72.88	0.46	10.85	73.69
   228 	[Retrieved Data]228 (5/13/2024 9:20:54 PM)	3	46.04	------		29.61	-0.54	3.17	-65.77	-1.96	6.51	66.12
   228 	[Retrieved Data]228 (5/13/2024 9:20:54 PM)	3	53.05	------		18.55	-0.42	4.05	-75.30	-1.64	7.71	75.71
   229 	[Retrieved Data]229 (5/13/2024 9:20:54 PM)	3	45.99	------		29.73	-0.47	3.30	-65.65	-1.89	6.65	66.01
   229 	[Retrieved Data]229 (5/13/2024 9:20:54 PM)	3	52.96	------		18.75	-0.23	4.24	-75.09	-1.45	7.91	75.52
   230 	[Retrieved Data]230 (5/13/2024 9:20:54 PM)	3	45.66	------		30.38	-0.22	3.81	-65.00	-1.64	7.15	65.41
   230 	[Retrieved Data]230 (5/13/2024 9:20:54 PM)	3	52.31	------		20.03	0.12	5.09	-73.81	-1.10	8.76	74.34
   231 	[Retrieved Data]231 (5/13/2024 9:20:54 PM)	3	45.57	------		30.79	-1.01	4.26	-64.58	-2.43	7.60	65.08
   231 	[Retrieved Data]231 (5/13/2024 9:20:54 PM)	3	52.09	------		20.78	-1.12	5.81	-73.06	-2.33	9.48	73.71
   232 	[Retrieved Data]232 (5/13/2024 9:20:54 PM)	3	46.17	------		29.63	0.12	3.88	-65.75	-1.30	7.23	66.16
   232 	[Retrieved Data]232 (5/13/2024 9:20:54 PM)	3	53.23	------		18.77	0.70	5.39	-75.07	-0.52	9.06	75.62
   233 	[Retrieved Data]233 (5/13/2024 9:20:54 PM)	3	46.05	------		30.02	-0.66	4.24	-65.36	-2.08	7.58	65.83
   233 	[Retrieved Data]233 (5/13/2024 9:20:54 PM)	3	52.96	------		19.49	-0.58	5.98	-74.35	-1.79	9.65	75.00
   234 	[Retrieved Data]234 (5/13/2024 9:20:54 PM)	3	45.59	------		31.07	-0.09	5.17	-64.31	-1.51	8.52	64.89
   234 	[Retrieved Data]234 (5/13/2024 9:20:54 PM)	3	52.32	------		21.10	0.33	7.41	-72.75	-0.89	11.08	73.59
   235 	[Retrieved Data]235 (5/13/2024 9:20:54 PM)	3	47.35	------		27.07	1.17	1.62	-68.31	-0.25	4.96	68.49
   235 	[Retrieved Data]235 (5/13/2024 9:20:54 PM)	3	55.54	------		14.09	2.80	1.36	-79.76	1.58	5.03	79.93
   236 	[Retrieved Data]236 (5/13/2024 9:20:54 PM)	3	45.69	------		30.27	-0.60	3.54	-65.11	-2.02	6.88	65.50
   236 	[Retrieved Data]236 (5/13/2024 9:20:54 PM)	3	52.48	------		19.60	-0.52	4.53	-74.25	-1.74	8.20	74.72
   237 	[Retrieved Data]237 (5/13/2024 9:20:54 PM)	3	45.63	------		30.43	-0.45	3.74	-64.95	-1.87	7.08	65.36
   237 	[Retrieved Data]237 (5/13/2024 9:20:54 PM)	3	52.30	------		19.96	-0.18	4.83	-73.89	-1.40	8.50	74.39
   238 	[Retrieved Data]238 (5/13/2024 9:20:54 PM)	3	45.11	------		31.33	-0.23	4.10	-64.05	-1.65	7.45	64.50
   238 	[Retrieved Data]238 (5/13/2024 9:20:54 PM)	3	51.44	------		21.44	0.13	5.37	-72.41	-1.09	9.03	72.98
   239 	[Retrieved Data]239 (5/13/2024 9:20:54 PM)	3	46.19	------		29.51	-0.28	3.57	-65.87	-1.70	6.92	66.26
   239 	[Retrieved Data]239 (5/13/2024 9:20:54 PM)	3	53.25	------		18.55	0.08	4.88	-75.29	-1.13	8.55	75.78
   240 	[Retrieved Data]240 (5/13/2024 9:20:54 PM)	3	45.77	------		30.43	-0.11	4.35	-64.95	-1.53	7.69	65.42
   240 	[Retrieved Data]240 (5/13/2024 9:20:54 PM)	3	52.56	------		20.07	0.43	6.07	-73.77	-0.79	9.74	74.42
   241 	[Retrieved Data]241 (5/13/2024 9:20:54 PM)	3	45.67	------		30.85	-0.91	4.77	-64.52	-2.33	8.11	65.07
   241 	[Retrieved Data]241 (5/13/2024 9:20:54 PM)	3	52.36	------		20.76	-0.92	6.67	-73.09	-2.13	10.33	73.85
   242 	[Retrieved Data]242 (5/13/2024 9:20:54 PM)	3	46.32	------		29.68	0.63	4.61	-65.70	-0.79	7.95	66.18
   242 	[Retrieved Data]242 (5/13/2024 9:20:54 PM)	3	53.57	------		18.88	1.56	6.80	-74.96	0.35	10.46	75.69
   243 	[Retrieved Data]243 (5/13/2024 9:20:54 PM)	3	49.58	------		23.54	2.25	0.43	-71.83	0.83	3.77	71.94
   243 	[Retrieved Data]243 (5/13/2024 9:20:54 PM)	3	61.70	------		4.53	1.91	-3.78	-89.31	0.69	-0.12	89.32
   244 	[Retrieved Data]244 (5/13/2024 9:20:54 PM)	3	75.74	------		42.65	-45.52	26.17	-52.73	-46.94	29.52	76.52
   244 	[Retrieved Data]244 (5/13/2024 9:20:54 PM)	3	95.88	------		36.80	-60.81	36.86	-57.05	-62.03	40.53	93.51
   245 	[Retrieved Data]245 (5/13/2024 9:20:54 PM)	3	45.16	------		31.19	-0.34	3.93	-64.19	-1.76	7.27	64.62
   245 	[Retrieved Data]245 (5/13/2024 9:20:54 PM)	3	51.55	------		21.17	-0.04	5.09	-72.67	-1.25	8.76	73.21
   246 	[Retrieved Data]246 (5/13/2024 9:20:54 PM)	3	46.23	------		29.41	-0.43	3.42	-65.97	-1.85	6.76	66.34
   246 	[Retrieved Data]246 (5/13/2024 9:20:54 PM)	3	53.35	------		18.33	-0.22	4.65	-75.52	-1.44	8.31	75.99
   247 	[Retrieved Data]247 (5/13/2024 9:20:54 PM)	3	45.85	------		30.24	-0.20	4.13	-65.14	-1.62	7.47	65.59
   247 	[Retrieved Data]247 (5/13/2024 9:20:54 PM)	3	52.72	------		19.69	0.17	5.72	-74.15	-1.05	9.39	74.75
   248 	[Retrieved Data]248 (5/13/2024 9:20:54 PM)	3	45.26	------		31.31	-0.08	4.61	-64.06	-1.50	7.96	64.57
   248 	[Retrieved Data]248 (5/13/2024 9:20:54 PM)	3	51.69	------		21.49	0.41	6.32	-72.35	-0.81	9.98	73.04
   249 	[Retrieved Data]249 (5/13/2024 9:20:54 PM)	3	46.33	------		29.51	-0.07	4.14	-65.87	-1.49	7.48	66.31
   249 	[Retrieved Data]249 (5/13/2024 9:20:54 PM)	3	53.56	------		18.57	0.45	6.04	-75.28	-0.77	9.70	75.90
   250 	[Retrieved Data]250 (5/13/2024 9:20:54 PM)	3	46.02	------		30.23	0.29	4.80	-65.15	-1.13	8.14	65.67
   250 	[Retrieved Data]250 (5/13/2024 9:20:54 PM)	3	53.01	------		19.80	0.98	6.94	-74.04	-0.24	10.61	74.80
   251 	[Retrieved Data]251 (5/13/2024 9:20:54 PM)	3	72.09	------		29.97	25.60	-45.33	-65.41	24.18	-41.99	81.40
   251 	[Retrieved Data]251 (5/13/2024 9:20:54 PM)	3	91.01	------		19.34	38.25	-57.62	-74.51	37.04	-53.96	99.17
   252 	[Retrieved Data]252 (5/13/2024 9:20:54 PM)	3	5.11	------		99.39	-0.09	-0.01	4.01	-1.51	3.34	5.43
   252 	[Retrieved Data]252 (5/13/2024 9:20:54 PM)	3	5.31	------		97.34	-0.10	0.14	3.49	-1.31	3.80	5.33
   253 	[Retrieved Data]253 (5/13/2024 9:20:54 PM)	3	93.16	------		51.50	57.95	45.18	-43.88	56.53	48.52	86.46
   253 	[Retrieved Data]253 (5/13/2024 9:20:54 PM)	3	111.15	------		46.65	64.72	61.40	-47.20	63.50	65.06	102.44
   254 	[Retrieved Data]254 (5/13/2024 9:20:54 PM)	3	43.01	------		37.68	4.82	9.31	-57.70	3.40	12.66	59.17
   254 	[Retrieved Data]254 (5/13/2024 9:20:54 PM)	3	48.48	------		30.54	6.58	11.98	-63.31	5.37	15.65	65.43
   255 	[Retrieved Data]255 (5/13/2024 9:20:54 PM)	3	44.28	------		35.42	5.48	8.77	-59.96	4.06	12.12	61.30
   255 	[Retrieved Data]255 (5/13/2024 9:20:54 PM)	3	50.61	------		27.36	7.84	11.84	-66.48	6.62	15.51	68.59
   256 	[Retrieved Data]256 (5/13/2024 9:20:54 PM)	3	43.95	------		36.12	4.23	9.33	-59.26	2.81	12.68	60.67
   256 	[Retrieved Data]256 (5/13/2024 9:20:54 PM)	3	49.99	------		28.40	6.06	12.48	-65.45	4.84	16.15	67.59
   257 	[Retrieved Data]257 (5/13/2024 9:20:54 PM)	3	43.57	------		37.78	5.40	10.50	-57.59	3.98	13.84	59.37
   257 	[Retrieved Data]257 (5/13/2024 9:20:54 PM)	3	49.44	------		30.61	7.36	13.70	-63.24	6.15	17.37	65.86
   258 	[Retrieved Data]258 (5/13/2024 9:20:54 PM)	3	44.68	------		34.87	3.76	9.26	-60.51	2.34	12.61	61.85
   258 	[Retrieved Data]258 (5/13/2024 9:20:54 PM)	3	51.16	------		26.76	5.58	12.90	-67.09	4.36	16.56	69.24
   259 	[Retrieved Data]259 (5/13/2024 9:20:54 PM)	3	44.41	------		36.40	5.20	10.49	-58.98	3.78	13.84	60.70
   259 	[Retrieved Data]259 (5/13/2024 9:20:54 PM)	3	50.75	------		28.90	7.23	14.26	-64.94	6.01	17.93	67.64
   260 	[Retrieved Data]260 (5/13/2024 9:20:54 PM)	3	44.25	------		37.97	6.53	11.76	-57.40	5.11	15.11	59.58
   260 	[Retrieved Data]260 (5/13/2024 9:20:54 PM)	3	50.50	------		30.96	8.73	15.58	-62.88	7.51	19.24	66.19
   261 	[Retrieved Data]261 (5/13/2024 9:20:54 PM)	3	43.99	------		35.04	3.80	7.89	-60.34	2.38	11.24	61.42
   261 	[Retrieved Data]261 (5/13/2024 9:20:54 PM)	3	49.97	------		26.88	5.65	10.47	-66.96	4.43	14.14	68.58
   262 	[Retrieved Data]262 (5/13/2024 9:20:54 PM)	3	44.11	------		35.15	4.59	8.19	-60.22	3.17	11.54	61.40
   262 	[Retrieved Data]262 (5/13/2024 9:20:54 PM)	3	50.21	------		27.05	6.71	10.94	-66.79	5.49	14.60	68.59
   263 	[Retrieved Data]263 (5/13/2024 9:20:54 PM)	3	43.86	------		36.62	5.71	9.47	-58.76	4.29	12.82	60.30
   263 	[Retrieved Data]263 (5/13/2024 9:20:54 PM)	3	49.83	------		29.11	7.90	12.48	-64.73	6.68	16.14	67.05
   264 	[Retrieved Data]264 (5/13/2024 9:20:54 PM)	3	43.37	------		37.63	4.76	10.03	-57.75	3.34	13.37	59.37
   264 	[Retrieved Data]264 (5/13/2024 9:20:54 PM)	3	49.02	------		30.42	6.58	12.92	-63.42	5.36	16.59	65.77
   265 	[Retrieved Data]265 (5/13/2024 9:20:54 PM)	3	44.55	------		35.35	5.28	9.33	-60.03	3.86	12.67	61.48
   265 	[Retrieved Data]265 (5/13/2024 9:20:54 PM)	3	50.97	------		27.37	7.58	12.72	-66.47	6.36	16.39	68.76
   266 	[Retrieved Data]266 (5/13/2024 9:20:54 PM)	3	44.22	------		36.18	4.34	9.98	-59.20	2.92	13.32	60.75
   266 	[Retrieved Data]266 (5/13/2024 9:20:54 PM)	3	50.41	------		28.54	6.19	13.47	-65.31	4.97	17.14	67.70
   267 	[Retrieved Data]267 (5/13/2024 9:20:54 PM)	3	44.10	------		37.74	5.49	11.47	-57.64	4.07	14.82	59.65
   267 	[Retrieved Data]267 (5/13/2024 9:20:54 PM)	3	50.19	------		30.67	7.41	15.15	-63.18	6.20	18.82	66.21
   268 	[Retrieved Data]268 (5/13/2024 9:20:54 PM)	3	45.83	------		30.42	1.78	4.68	-64.96	0.36	8.02	65.46
   268 	[Retrieved Data]268 (5/13/2024 9:20:54 PM)	3	52.66	------		20.24	3.33	6.61	-73.60	2.11	10.27	74.35
   269 	[Retrieved Data]269 (5/13/2024 9:20:54 PM)	3	43.53	------		36.43	4.39	8.79	-58.95	2.97	12.13	60.26
   269 	[Retrieved Data]269 (5/13/2024 9:20:54 PM)	3	49.22	------		28.79	6.26	11.33	-65.06	5.04	14.99	66.95
   270 	[Retrieved Data]270 (5/13/2024 9:20:54 PM)	3	43.56	------		36.50	4.93	8.84	-58.88	3.51	12.18	60.23
   270 	[Retrieved Data]270 (5/13/2024 9:20:54 PM)	3	49.43	------		28.79	6.97	11.55	-65.06	5.75	15.22	67.06
   271 	[Retrieved Data]271 (5/13/2024 9:20:54 PM)	3	43.30	------		38.03	6.22	10.03	-57.35	4.80	13.37	59.08
   271 	[Retrieved Data]271 (5/13/2024 9:20:54 PM)	3	48.95	------		30.97	8.38	12.83	-62.88	7.16	16.50	65.40
   272 	[Retrieved Data]272 (5/13/2024 9:20:54 PM)	3	44.50	------		35.16	4.64	9.11	-60.21	3.22	12.45	61.57
   272 	[Retrieved Data]272 (5/13/2024 9:20:54 PM)	3	50.80	------		27.15	6.74	12.35	-66.69	5.53	16.01	68.81
   273 	[Retrieved Data]273 (5/13/2024 9:20:54 PM)	3	44.19	------		36.72	5.81	10.29	-58.66	4.39	13.63	60.39
   273 	[Retrieved Data]273 (5/13/2024 9:20:54 PM)	3	50.47	------		29.18	8.07	13.78	-64.67	6.85	17.44	67.33
   274 	[Retrieved Data]274 (5/13/2024 9:20:54 PM)	3	43.84	------		37.51	4.66	10.87	-57.87	3.24	14.22	59.68
   274 	[Retrieved Data]274 (5/13/2024 9:20:54 PM)	3	49.83	------		30.27	6.43	14.34	-63.57	5.21	18.00	66.28
   275 	[Retrieved Data]275 (5/13/2024 9:20:54 PM)	3	44.94	------		35.37	5.71	10.12	-60.01	4.29	13.46	61.65
   275 	[Retrieved Data]275 (5/13/2024 9:20:54 PM)	3	51.72	------		27.38	8.14	14.03	-66.46	6.92	17.70	69.13
   276 	[Retrieved Data]276 (5/13/2024 9:20:54 PM)	3	49.73	------		23.29	2.21	0.27	-72.09	0.79	3.62	72.19
   276 	[Retrieved Data]276 (5/13/2024 9:20:54 PM)	3	61.65	------		4.62	1.99	-3.70	-89.23	0.78	-0.04	89.23
   277 	[Retrieved Data]277 (5/13/2024 9:20:54 PM)	3	76.00	------		42.75	-45.89	26.13	-52.63	-47.31	29.47	76.66
   277 	[Retrieved Data]277 (5/13/2024 9:20:54 PM)	3	96.15	------		36.91	-61.25	36.74	-56.94	-62.46	40.41	93.68
   278 	[Retrieved Data]278 (5/13/2024 9:20:54 PM)	3	43.08	------		37.99	5.62	9.68	-57.39	4.20	13.03	59.00
   278 	[Retrieved Data]278 (5/13/2024 9:20:54 PM)	3	48.60	------		30.90	7.62	12.32	-62.95	6.41	15.99	65.26
   279 	[Retrieved Data]279 (5/13/2024 9:20:54 PM)	3	44.33	------		34.95	3.73	8.57	-60.43	2.31	11.91	61.64
   279 	[Retrieved Data]279 (5/13/2024 9:20:54 PM)	3	50.49	------		26.85	5.59	11.61	-66.99	4.37	15.27	68.85
   280 	[Retrieved Data]280 (5/13/2024 9:20:54 PM)	3	44.00	------		36.48	5.18	9.72	-58.90	3.76	13.06	60.45
   280 	[Retrieved Data]280 (5/13/2024 9:20:54 PM)	3	50.09	------		28.88	7.26	12.93	-64.97	6.05	16.59	67.32
   281 	[Retrieved Data]281 (5/13/2024 9:20:54 PM)	3	43.79	------		38.04	6.47	10.95	-57.34	5.05	14.29	59.31
   281 	[Retrieved Data]281 (5/13/2024 9:20:54 PM)	3	49.75	------		31.01	8.68	14.30	-62.83	7.46	17.96	65.78
   282 	[Retrieved Data]282 (5/13/2024 9:20:54 PM)	3	44.80	------		35.03	4.80	9.57	-60.35	3.38	12.91	61.80
   282 	[Retrieved Data]282 (5/13/2024 9:20:54 PM)	3	51.42	------		26.95	6.97	13.31	-66.89	5.75	16.97	69.25
   283 	[Retrieved Data]283 (5/13/2024 9:20:54 PM)	3	44.51	------		36.48	6.14	10.56	-58.90	4.72	13.90	60.70
   283 	[Retrieved Data]283 (5/13/2024 9:20:54 PM)	3	50.94	------		28.94	8.47	14.26	-64.90	7.25	17.92	67.72
   284 	[Retrieved Data]284 (5/13/2024 9:20:54 PM)	3	69.67	------		29.46	23.77	-42.97	-65.92	22.36	-39.63	80.10
   284 	[Retrieved Data]284 (5/13/2024 9:20:54 PM)	3	88.64	------		18.52	36.29	-55.48	-75.33	35.07	-51.81	97.92
   285 	[Retrieved Data]285 (5/13/2024 9:20:54 PM)	3	5.09	------		99.34	-0.08	0.00	3.96	-1.50	3.35	5.40
   285 	[Retrieved Data]285 (5/13/2024 9:20:54 PM)	3	5.31	------		97.31	-0.09	0.14	3.47	-1.30	3.81	5.31
   286 	[Retrieved Data]286 (5/13/2024 9:20:54 PM)	3	92.68	------		50.98	57.76	44.57	-44.40	56.34	47.91	86.26
   286 	[Retrieved Data]286 (5/13/2024 9:20:54 PM)	3	110.72	------		46.23	64.42	61.04	-47.61	63.20	64.71	102.22
   287 	[Retrieved Data]287 (5/13/2024 9:20:54 PM)	3	40.91	------		47.28	4.57	15.67	-48.10	3.15	19.02	51.81
   287 	[Retrieved Data]287 (5/13/2024 9:20:54 PM)	3	45.32	------		42.30	5.53	18.44	-51.54	4.31	22.11	56.25
   288 	[Retrieved Data]288 (5/13/2024 9:20:54 PM)	3	42.31	------		44.14	5.75	14.91	-51.24	4.33	18.25	54.57
   288 	[Retrieved Data]288 (5/13/2024 9:20:54 PM)	3	47.30	------		38.63	7.10	18.06	-55.21	5.88	21.73	59.62
   289 	[Retrieved Data]289 (5/13/2024 9:20:54 PM)	3	42.26	------		45.27	4.31	16.03	-50.11	2.89	19.38	53.80
   289 	[Retrieved Data]289 (5/13/2024 9:20:54 PM)	3	47.19	------		39.98	5.34	19.33	-53.86	4.12	22.99	58.71
   290 	[Retrieved Data]290 (5/13/2024 9:20:54 PM)	3	42.66	------		47.64	5.53	18.22	-47.74	4.11	21.56	52.54
   290 	[Retrieved Data]290 (5/13/2024 9:20:54 PM)	3	47.49	------		42.84	6.61	21.55	-51.01	5.40	25.22	57.15
